time,odo_x,odo_y,odo_theta,odo_v,odo_w,enc_left,enc_right,ms,s
10680,0,0,0,0,0,12,-16,0,0
10730,0,0,0,0.0178106,0,14,-14,50,0.05
10792,0.00089053,0,0,0,0,14,-14,112,0.112
10842,0.00089053,0,0,0,0,14,-14,162,0.162
10892,0.00089053,0,0,0,0,14,-14,212,0.212
10942,0.00089053,0,0,0,0,14,-14,262,0.262
10992,0.00089053,0,0,0,0,14,-14,312,0.312
11042,0.00089053,0,0,0,0,14,-14,362,0.362
11092,0.00089053,0,0,0,0,14,-14,412,0.412
11142,0.00089053,0,0,0,0,14,-14,462,0.462
11192,0.00089053,0,0,0,0,14,-14,512,0.512
11242,0.00089053,0,0,0,0,14,-14,562,0.562
11292,0.00089053,0,0,0,0,14,-14,612,0.612
11342,0.00089053,0,0,0,0,14,-14,662,0.662
11392,0.00089053,0,0,0,0,14,-14,712,0.712
11442,0.00089053,0,0,0,0,14,-14,762,0.762
11511,0.00089053,0,0,0,0,14,-14,831,0.831
11561,0.00089053,0,0,0,0,14,-14,881,0.881
11611,0.00089053,0,0,0,0,14,-14,931,0.931
11661,0.00089053,0,0,0,0,14,-14,981,0.981
11711,0.00089053,0,0,0,0,14,-14,1031,1.031
11761,0.00089053,0,0,0,0,14,-14,1081,1.081
11811,0.00089053,0,0,0,0,14,-14,1131,1.131
11861,0.00089053,0,0,0,0,14,-14,1181,1.181
11911,0.00089053,0,0,0,0,14,-14,1231,1.231
11961,0.00089053,0,0,0,0,14,-14,1281,1.281
12011,0.00089053,0,0,0,0,14,-14,1331,1.331
12061,0.00089053,0,0,0,0,14,-14,1381,1.381
12111,0.00089053,0,0,0,0,14,-14,1431,1.431
12161,0.00089053,0,0,0,0,14,-14,1481,1.481
12214,0.00089053,0,0,0,0,14,-14,1534,1.534
12264,0.00089053,0,0,0,0,14,-14,1584,1.584
12314,0.00089053,0,0,0,0,14,-14,1634,1.634
12364,0.00089053,0,0,0,0,14,-14,1684,1.684
12414,0.00089053,0,-0.02842118,0.00445265,-0.56842353,22,-21,1734,1.734
12464,0.00111307,-0.00000633,-0.10421098,-0.02671591,-1.51579609,39,-44,1784,1.784
12514,-0.00021548,0.00013263,-0.19705349,-0.00445265,-1.85685021,63,-69,1834,1.834
12564,-0.0004338,0.00017621,-0.27663279,-0.0089053,-1.59158589,83,-91,1884,1.884
12614,-0.00086214,0.00029782,-0.3486331,0,-1.44000628,102,-110,1934,1.934
12664,-0.00086214,0.00029782,-0.44905459,0.00445265,-2.00842982,129,-136,1984,1.984
12714,-0.00066158,0.00020118,-0.52294965,-0.00445265,-1.47790118,148,-156,2034,2.034
12764,-0.00085445,0.00031237,-0.59494996,0,-1.44000628,167,-175,2084,2.084
12814,-0.00085445,0.00031237,-0.67073977,-0.0089053,-1.51579609,186,-196,2134,2.134
12864,-0.00119628,0.00058359,-0.74652957,0,-1.5467307,206,-216,2184,2.184
12917,-0.00119628,0.00058359,-0.86021428,-0.03562121,-2.27369413,232,-250,2237,2.237
12967,-0.00233479,0.0019066,-0.92274087,0.03180465,-1.27605283,252,-263,2287,2.287
13017,-0.00137486,0.00063878,-0.99853067,0,-1.51579609,272,-283,2337,2.337
13067,-0.00137486,0.00063878,-1.07621522,-0.00445265,-1.55369099,292,-304,2387,2.387
13117,-0.00147843,0.00083081,-1.15011028,-0.01363056,-1.50806243,310,-325,2437,2.437
13167,-0.00175119,0.00144048,-1.24863703,-0.00908704,-2.01074991,335,-352,2487,2.487
13217,-0.00189504,0.00187145,-1.32253209,-0.00445265,-1.47790118,354,-372,2537,2.537
13267,-0.00194975,0.00208726,-1.39642714,-0.00445265,-1.47790118,373,-392,2587,2.587
13317,-0.0019876,0.00230213,-1.4703222,-0.00454352,-1.50806243,392,-412,2637,2.637
13367,-0.00201039,0.00252816,-1.54611201,0,-1.51579609,412,-432,2687,2.687
13417,-0.00201039,0.00252816,-1.6465335,0.0042814,-1.93118251,439,-458,2737,2.737
13467,-0.00202658,0.00231471,-1.72042856,0.00445265,-1.47790118,459,-477,2787,2.787
13517,-0.00205977,0.00209456,-1.79432362,-0.00445265,-1.47790118,478,-497,2837,2.837
13567,-0.00201042,0.00231165,-1.87011342,-0.0089053,-1.51579609,497,-518,2887,2.887
13636,-0.00188175,0.00272861,-1.98190338,-0.02271761,-2.28142778,524,-550,2956,2.956
13686,-0.00131888,0.00401975,-2.06527217,0.02154509,-1.34465782,549,-569,3006,3.006
13736,-0.00181989,0.00309049,-2.13727248,0,-1.46939417,568,-588,3056,3.056
13786,-0.00181989,0.00309049,-2.21306229,0,-1.48607459,588,-608,3106,3.106
13836,-0.00181989,0.00309049,-2.28885209,-0.0089053,-1.51579609,607,-629,3156,3.156
13886,-0.00152694,0.00342582,-2.3646419,-0.0089053,-1.51579609,626,-650,3206,3.206
13936,-0.0012158,0.00373175,-2.46316864,-0.00908704,-2.01074991,651,-677,3256,3.256
13986,-0.00086205,0.00401689,-2.53895845,-0.0089053,-1.51579609,670,-698,3306,3.306
14036,-0.00049522,0.00426927,-2.61474825,0,-1.51579609,690,-718,3356,3.356
14086,-0.00049522,0.00426927,-2.6924328,-0.00445265,-1.55369099,710,-739,3406,3.406
14136,-0.00029467,0.00436594,-2.76632786,-0.00445265,-1.47790118,729,-759,3456,3.456
14186,-0.00008753,0.00444754,-2.86295986,0.00445265,-1.93264001,755,-784,3506,3.506
14236,-0.00030158,0.00438631,-2.93496017,0,-1.44000628,774,-803,3556,3.556
14286,-0.00030158,0.00438631,-3.00885523,-0.00445265,-1.47790118,793,-823,3606,3.606
14338,-0.00008532,0.00441518,-3.09601351,-0.02726113,-1.77874031,813,-849,3658,3.658
14388,0.00130355,0.00447853,-3.18317178,0.02619206,-1.70898578,839,-869,3708,3.708
14439,-0.00000492,0.00453297,-3.25896159,0,-1.51579609,859,-889,3759,3.759
14489,-0.00000492,0.00453297,-3.33475139,0,-1.35338936,879,-909,3809,3.809
14539,-0.00000492,0.00453297,-3.43706763,0,-2.04632472,906,-936,3859,3.859
14589,-0.00000492,0.00453297,-3.51285743,0,-1.5467307,926,-956,3909,3.909
14639,-0.00000492,0.00453297,-3.58675249,-0.00445265,-1.47790118,945,-976,3959,3.959
14689,0.000192,0.00443902,-3.66064755,0.00454352,-1.50806243,965,-995,4009,4.009
14739,-0.00000526,0.00455171,-3.73454261,0.00445265,-1.47790118,985,-1014,4059,4.059
14789,-0.00018619,0.00467363,-3.8349641,-0.00454352,-2.04941818,1011,-1041,4109,4.109
14839,-0.00001147,0.00452844,-3.9107539,0,-1.51579609,1031,-1061,4159,4.159
14889,-0.00001147,0.00452844,-3.98654371,0,-1.51579609,1051,-1081,4209,4.209
14939,-0.00001147,0.00452844,-4.06043877,-0.00454352,-1.50806243,1070,-1101,4259,4.259
14989,0.00012637,0.00434785,-4.13622857,0,-1.51579609,1090,-1121,4309,4.309
15042,0.00012637,0.00434785,-4.24991328,-0.03562121,-2.27369413,1116,-1155,4362,4.362
15092,0.00092101,0.00275389,-4.31243987,0.03116856,-1.25053177,1136,-1168,4412,4.412
15142,0.00032634,0.00416062,-4.38633493,-0.00454352,-1.50806243,1155,-1188,4462,4.462
15192,0.00040347,0.0039325,-4.45833524,-0.00840123,-1.35849649,1173,-1208,4512,4.512
15242,0.00050905,0.00352592,-4.55875673,-0.00445265,-2.00842982,1199,-1235,4562,4.562
15292,0.00054312,0.00330591,-4.63454654,0,-1.51579609,1219,-1255,4612,4.612
15342,0.00054312,0.00330591,-4.70844159,0.00454352,-1.50806243,1239,-1274,4662,4.662
15392,0.00054222,0.00353309,-4.78612614,-0.00445265,-1.55369099,1259,-1295,4712,4.712
15442,0.00052582,0.00331106,-4.85812646,-0.0089053,-1.44000628,1277,-1315,4762,4.762
15492,0.00046116,0.00287051,-4.9566532,0,-1.97053491,1303,-1341,4812,4.812
15542,0.00046116,0.00287051,-5.03433775,-0.00445265,-1.55369099,1323,-1362,4862,4.862
15592,0.00039071,0.00265932,-5.11012756,0,-1.51579609,1343,-1382,4912,4.912
15642,0.00039071,0.00265932,-5.18591736,0,-1.51579609,1363,-1402,4962,4.962
15692,0.00039071,0.00265932,-5.26549666,-0.0089053,-1.59158589,1383,-1424,5012,5.012
15745,0.0001568,0.00228045,-5.37918136,-0.03562121,-2.27369413,1409,-1458,5065,5.065
15795,-0.00094473,0.00088087,-5.43981321,0.02671591,-1.21263687,1428,-1471,5115,5.115
15845,-0.00007426,0.00185861,-5.51370827,-0.01363056,-1.50806243,1446,-1492,5165,5.165
15895,-0.00056379,0.00138443,-5.58760333,-0.00445265,-1.47790118,1465,-1512,5215,5.215
15945,-0.00073128,0.00124461,-5.66149838,-0.00454352,-1.50806243,1484,-1532,5265,5.265
15995,-0.00091595,0.0011123,-5.76002513,-0.0089053,-1.97053491,1509,-1559,5315,5.315
16045,-0.00130166,0.00088984,-5.83202544,0,-1.44000628,1528,-1578,5365,5.365
16095,-0.00130166,0.00088984,-5.9059205,0.00445265,-1.47790118,1548,-1597,5415,5.415
16145,-0.00109882,0.00097021,-5.98171031,-0.00908704,-1.5467307,1567,-1618,5465,5.465
16195,-0.001524,0.000838,-6.05560537,-0.00454352,-1.50806243,1586,-1638,5515,5.515
16245,-0.00175418,0.0007847,-6.15223737,0.0042814,-1.8583077,1612,-1663,5565,5.565
16295,-0.00154618,0.00081209,-6.22992192,-0.00454352,-1.58539897,1632,-1684,5615,5.615
16345,-0.00177304,0.00079999,-6.30760647,-0.01335795,-1.55369099,1651,-1706,5665,5.665
16395,-0.00244074,0.0008163,-6.37392255,0.01335795,-1.32632158,1670,-1722,5715,5.715
16464,-0.00178889,0.00075699,-6.30950121,0.08178339,1.3147211,1662,-1696,5784,5.784
16514,0.00319817,0.00062572,-6.20339549,-0.01459886,1.73943813,1632,-1670,5834,5.834
16564,0.00247055,0.00056754,-6.12192145,0.01335795,1.62948079,1612,-1647,5884,5.884
16614,0.00314297,0.00067693,-6.04992113,0,1.41177087,1593,-1628,5934,5.934
16664,0.00314297,0.00067693,-5.98360505,0.00445265,1.32632158,1576,-1610,5984,5.984
16714,0.00335143,0.00074132,-5.90970999,-0.00454352,1.50806243,1556,-1591,6034,6.034
16764,0.00313991,0.00065843,-5.80549901,0.00445265,2.08421962,1529,-1563,6084,6.084
16814,0.00333762,0.00076078,-5.73160395,0.00445265,1.47790118,1510,-1543,6134,6.134
16864,0.00352345,0.00087512,-5.65960364,0,1.46939417,1491,-1524,6184,6.184
16914,0.00352345,0.00087512,-5.58760333,0,1.44000628,1472,-1505,6234,6.234
16964,0.00352345,0.00087512,-5.51370827,0.01335795,1.47790118,1454,-1484,6284,6.284
17014,0.00399359,0.00133052,-5.41707627,0.01363056,1.97208164,1430,-1457,6334,6.334
17064,0.00443508,0.00184972,-5.34507595,0,1.44000628,1411,-1438,6384,6.384
17114,0.00443508,0.00184972,-5.27307564,0.0178106,1.44000628,1394,-1417,6434,6.434
17167,0.00489916,0.00258882,-5.18781211,0.04089169,1.74007204,1376,-1390,6487,6.487
17217,0.00585372,0.00444301,-5.10444332,-0.02619206,1.63468205,1351,-1371,6537,6.537
17267,0.00535333,0.00323277,-5.02865352,0.0089053,1.51579609,1332,-1350,6587,6.587
17317,0.00550844,0.00370674,-4.95286371,0.00795116,1.35338936,1313,-1329,6637,6.637
17367,0.00560123,0.00408513,-4.85623171,0.00454352,1.97208164,1288,-1303,6687,6.687
17417,0.00563379,0.00430996,-4.78233665,0.00445265,1.47790118,1269,-1283,6737,6.737
17467,0.00564935,0.00453205,-4.70844159,0.00445265,1.47790118,1250,-1263,6787,6.787
17517,0.00564849,0.00475023,-4.63454654,0.00454352,1.50806243,1231,-1243,6837,6.837
17567,0.00563082,0.00497672,-4.55875673,0.0089053,1.51579609,1212,-1222,6887,6.887
17617,0.00556269,0.00541674,-4.46212473,0.00445265,1.93264001,1187,-1196,6937,6.937
17667,0.00550755,0.00563243,-4.39012442,0,1.44000628,1168,-1177,6987,6.987
17717,0.00550755,0.00563243,-4.3181241,0.0089053,1.44000628,1150,-1157,7037,7.037
17767,0.00533651,0.00604354,-4.24422904,0.00445265,1.47790118,1131,-1137,7087,7.087
17817,0.00523605,0.00624221,-4.17033398,0.00445265,1.47790118,1112,-1117,7137,7.137
17870,0.00512119,0.00643293,-4.06043877,0.03562121,2.19790433,1087,-1084,7190,7.19
17920,0.00404055,0.0078487,-3.99980692,-0.02671591,1.21263687,1068,-1071,7240,7.24
17970,0.00491388,0.00683794,-3.92591186,0.00445265,1.47790118,1049,-1051,7290,7.29
18020,0.00475629,0.00699519,-3.85391155,0.0089053,1.44000628,1031,-1031,7340,7.34
18070,0.00441929,0.00728621,-3.77812175,0.0089053,1.51579609,1012,-1010,7390,7.39
18120,0.00406122,0.00755088,-3.68148975,0.00445265,1.93264001,987,-984,7440,7.44
18170,0.00387408,0.00766304,-3.60759469,0.00454352,1.50806243,968,-964,7490,7.49
18220,0.00367518,0.00776307,-3.53180488,0,1.5467307,948,-944,7540,7.54
18270,0.00367518,0.00776307,-3.45601508,0,1.51579609,928,-924,7590,7.59
18320,0.00367518,0.00776307,-3.38022527,0,1.51579609,908,-904,7640,7.64
18370,0.00367518,0.00776307,-3.28169853,0.0089053,1.97053491,883,-877,7690,7.69
18420,0.00321665,0.00782774,-3.20780347,0.0042814,1.42105883,864,-857,7740,7.74
18470,0.00300305,0.0078419,-3.1376979,0.00445265,1.40211138,846,-838,7790,7.79
18520,0.00278042,0.00784103,-3.06569759,0.0178106,1.44000628,829,-817,7840,7.84
18573,0.00191021,0.00777486,-2.95390762,0.04997874,2.28142778,805,-782,7893,7.893
18623,-0.00054484,0.0073086,-2.89517053,-0.02226326,1.17474197,787,-769,7943,7.943
18673,0.0005131,0.00757471,-2.81938072,0,1.5467307,767,-749,7993,7.993
