time[s] , x_t[m] , y_t[m] ,theta[deg],target_point
0.00 , 0.000 , 0.000 , 0.000 , 0
2.61 , 0.001 , -0.000 , -0.108 , 0
2.66 , 0.002 , 0.000 , 1.843 , 0
2.71 , -0.005 , -0.000 , 2.493 , 0
2.76 , -0.003 , -0.000 , 3.143 , 0
2.81 , -0.005 , -0.000 , 3.035 , 0
2.85 , -0.008 , -0.000 , 3.902 , 0
2.90 , -0.007 , -0.000 , 3.794 , 0
2.96 , -0.007 , -0.000 , 3.685 , 0
3.03 , -0.007 , -0.000 , 3.685 , 0
3.09 , -0.007 , -0.000 , 3.685 , 0
3.14 , -0.007 , -0.000 , 3.685 , 0
3.19 , -0.007 , -0.000 , 3.685 , 0
3.24 , -0.006 , -0.000 , 3.143 , 0
3.28 , -0.004 , -0.000 , 2.059 , 0
3.33 , -0.001 , -0.000 , 0.542 , 0
3.38 , 0.003 , -0.000 , -1.084 , 0
3.43 , 0.006 , -0.000 , -2.601 , 0
3.48 , 0.009 , -0.001 , -4.010 , 0
3.52 , 0.012 , -0.001 , -5.528 , 0
3.57 , 0.016 , -0.001 , -7.479 , 0
3.64 , 0.020 , -0.002 , -9.430 , 0
3.70 , 0.024 , -0.003 , -11.381 , 0
3.76 , 0.027 , -0.004 , -13.224 , 0
3.83 , 0.031 , -0.005 , -15.066 , 0
3.88 , 0.033 , -0.005 , -16.367 , 0
3.92 , 0.036 , -0.006 , -17.668 , 0
3.97 , 0.039 , -0.007 , -18.968 , 0
4.02 , 0.041 , -0.008 , -20.269 , 0
4.07 , 0.043 , -0.009 , -21.461 , 0
4.12 , 0.046 , -0.010 , -22.762 , 0
4.16 , 0.048 , -0.011 , -23.954 , 0
4.21 , 0.050 , -0.012 , -25.147 , 0
4.26 , 0.053 , -0.013 , -26.664 , 0
4.32 , 0.056 , -0.015 , -28.181 , 0
4.39 , 0.059 , -0.017 , -29.591 , 0
4.45 , 0.062 , -0.018 , -30.783 , 0
4.51 , 0.064 , -0.020 , -32.084 , 0
4.56 , 0.066 , -0.021 , -32.842 , 0
4.61 , 0.068 , -0.023 , -33.818 , 0
4.66 , 0.070 , -0.024 , -34.576 , 0
4.71 , 0.072 , -0.025 , -35.227 , 0
4.75 , 0.074 , -0.027 , -36.094 , 0
4.80 , 0.076 , -0.028 , -36.636 , 0
4.85 , 0.078 , -0.030 , -37.286 , 0
4.90 , 0.080 , -0.031 , -37.828 , 0
4.95 , 0.083 , -0.034 , -38.587 , 0
5.01 , 0.086 , -0.036 , -39.346 , 0
5.08 , 0.088 , -0.038 , -39.996 , 0
5.14 , 0.091 , -0.041 , -40.538 , 0
5.20 , 0.094 , -0.043 , -41.188 , 0
5.25 , 0.096 , -0.045 , -41.622 , 0
5.30 , 0.098 , -0.047 , -42.164 , 0
5.35 , 0.100 , -0.049 , -42.597 , 0
5.39 , 0.102 , -0.050 , -42.923 , 0
5.44 , 0.104 , -0.052 , -43.248 , 0
5.49 , 0.106 , -0.054 , -43.573 , 0
5.54 , 0.109 , -0.056 , -43.898 , 0
5.59 , 0.111 , -0.058 , -44.223 , 0
5.63 , 0.113 , -0.060 , -44.548 , 0
5.68 , 0.115 , -0.063 , -44.874 , 0
5.75 , 0.118 , -0.066 , -45.199 , 0
5.81 , 0.121 , -0.069 , -45.415 , 0
5.87 , 0.123 , -0.071 , -45.849 , 0
5.92 , 0.125 , -0.073 , -46.174 , 0
5.97 , 0.127 , -0.075 , -46.283 , 0
6.02 , 0.129 , -0.078 , -46.608 , 0
6.07 , 0.131 , -0.080 , -46.716 , 0
6.11 , 0.133 , -0.082 , -46.933 , 0
6.16 , 0.135 , -0.084 , -47.150 , 0
6.21 , 0.137 , -0.086 , -47.367 , 0
6.27 , 0.140 , -0.089 , -47.583 , 0
6.32 , 0.142 , -0.091 , -47.692 , 0
6.37 , 0.144 , -0.094 , -47.908 , 0
6.43 , 0.147 , -0.097 , -48.234 , 0
6.50 , 0.150 , -0.100 , -48.234 , 0
6.56 , 0.152 , -0.103 , -48.667 , 0
6.61 , 0.154 , -0.105 , -48.776 , 0
6.66 , 0.156 , -0.108 , -48.992 , 0
6.71 , 0.158 , -0.110 , -49.101 , 0
6.75 , 0.160 , -0.112 , -49.101 , 0
6.80 , 0.162 , -0.114 , -49.209 , 0
6.85 , 0.164 , -0.116 , -49.318 , 0
6.90 , 0.166 , -0.119 , -49.426 , 0
6.94 , 0.168 , -0.121 , -49.534 , 0
6.99 , 0.170 , -0.124 , -49.643 , 0
7.04 , 0.173 , -0.127 , -49.751 , 0
7.11 , 0.175 , -0.130 , -49.859 , 0
7.17 , 0.178 , -0.133 , -49.859 , 0
7.23 , 0.181 , -0.136 , -49.968 , 0
7.28 , 0.183 , -0.139 , -50.076 , 0
7.33 , 0.185 , -0.141 , -50.185 , 0
7.38 , 0.187 , -0.143 , -50.293 , 0
7.42 , 0.189 , -0.146 , -50.293 , 0
7.47 , 0.191 , -0.148 , -50.401 , 0
7.52 , 0.193 , -0.151 , -50.401 , 0
7.57 , 0.195 , -0.153 , -50.401 , 0
7.62 , 0.197 , -0.156 , -50.510 , 0
7.66 , 0.199 , -0.158 , -50.510 , 0
7.71 , 0.201 , -0.161 , -50.618 , 0
7.76 , 0.204 , -0.164 , -50.618 , 0
7.83 , 0.206 , -0.167 , -50.727 , 0
7.89 , 0.210 , -0.171 , -50.510 , 0
7.95 , 0.212 , -0.174 , -50.727 , 0
8.00 , 0.214 , -0.177 , -50.835 , 0
8.05 , 0.216 , -0.179 , -50.835 , 0
8.10 , 0.218 , -0.182 , -50.835 , 0
8.14 , 0.220 , -0.184 , -50.943 , 0
8.19 , 0.223 , -0.187 , -50.943 , 0
8.24 , 0.225 , -0.190 , -51.052 , 0
8.29 , 0.227 , -0.192 , -50.943 , 0
8.34 , 0.229 , -0.195 , -51.052 , 0
8.38 , 0.231 , -0.197 , -50.943 , 0
8.43 , 0.234 , -0.201 , -50.943 , 0
8.51 , 0.237 , -0.205 , -51.052 , 0
8.58 , 0.240 , -0.209 , -50.835 , 0
8.64 , 0.243 , -0.212 , -51.052 , 0
8.69 , 0.245 , -0.215 , -51.160 , 0
8.74 , 0.247 , -0.217 , -51.052 , 0
8.78 , 0.249 , -0.220 , -51.160 , 0
8.83 , 0.251 , -0.223 , -51.160 , 0
8.88 , 0.254 , -0.225 , -51.052 , 0
8.93 , 0.256 , -0.228 , -51.052 , 0
8.97 , 0.258 , -0.231 , -51.052 , 0
9.02 , 0.260 , -0.233 , -50.943 , 0
9.07 , 0.262 , -0.236 , -50.943 , 0
9.12 , 0.265 , -0.240 , -50.943 , 0
9.18 , 0.268 , -0.244 , -50.835 , 0
9.25 , 0.272 , -0.248 , -50.510 , 0
