time,x,y,theta
0,0,0,NaN
0.01,0.002088108,-0.013476881,NaN
0.02,0.0021413,-0.013476947,NaN
0.03,0.002195544,-0.013490521,NaN
0.04,0.00219262,-0.013491063,NaN
0.05,0.002145199,-0.013520772,NaN
0.06,0.002139725,-0.013528164,NaN
0.07,0.002199306,-0.013462206,NaN
0.08,0.002150117,-0.01349765,NaN
0.09,0.002142245,-0.013574,NaN
0.1,0.002204848,-0.013567452,0.01628007
0.11,0.002228727,-0.013510356,0.016272642
0.12,0.002115641,-0.013551211,0.016260431
0.13,0.002147468,-0.013563238,0.016260933
0.14,0.002192567,-0.013546321,0.016269072
0.15,0.002213012,-0.013537393,0.016279886
0.16,0.002181954,-0.013515807,0.016278101
0.17,0.002121879,-0.013476126,0.01629007
0.18,0.00219813,-0.013472128,0.016296454
0.19,0.002194472,-0.013528279,0.016278724
0.2,0.002169582,-0.013557238,0.016269381
0.21,0.002161688,-0.013506975,0.016273207
0.22,0.002153922,-0.01352413,0.016277134
0.23,0.002161268,-0.013540927,0.016280123
0.24,0.002174328,-0.013543045,0.016278513
0.25,0.002181214,-0.013516912,0.016268214
0.26,0.002193923,-0.013525143,0.016273663
0.27,0.002149232,-0.0134928,0.016259638
0.28,0.002185311,-0.013508299,0.016261322
0.29,0.002202119,-0.013538637,0.016272103
0.3,0.002182232,-0.01353964,0.016277602
0.31,0.002095744,-0.01352066,0.016273613
0.32,0.00211995,-0.013550937,0.016278478
0.33,0.002253949,-0.013531087,0.016286043
0.34,0.002138164,-0.013535475,0.016285466
0.35,0.002083914,-0.013566581,0.016284716
0.36,0.002182121,-0.013515295,0.016269797
0.37,0.002231899,-0.013475305,0.016261355
0.38,0.002161419,-0.013512511,0.016246714
0.39,0.00211219,-0.013544942,0.016240418
0.4,0.002162382,-0.013521874,0.016243209
0.41,0.002216219,-0.013477948,0.01624142
0.42,0.002187216,-0.013483908,0.016242627
0.43,0.00208165,-0.01352486,0.016232486
0.44,0.002120642,-0.013546647,0.01623373
0.45,0.002265883,-0.013510477,0.016226293
0.46,0.002112265,-0.013503017,0.0162232
0.47,0.002091111,-0.013550719,0.016236055
0.48,0.002229561,-0.013570691,0.016260799
0.49,0.002259403,-0.013569269,0.016289419
0.5,0.002173336,-0.013543364,0.016305356
0.51,0.002098494,-0.013544202,0.016306981
0.52,0.002169792,-0.013540297,0.016304847
0.53,0.002160138,-0.013506073,0.016304081
0.54,0.002168601,-0.013484248,0.016292947
0.55,0.002159527,-0.01351906,0.016296818
0.56,0.002194906,-0.013549649,0.016299805
0.57,0.002150688,-0.013480477,0.016305421
0.58,0.002134226,-0.013495853,0.016305613
0.59,0.002180896,-0.013535596,0.016295761
0.6,0.002150774,-0.013564007,0.01628218
