time[s] , x_t[m] , y_t[m] ,theta[deg]
0.00 , 0.000 , 0.000 , 0 
0.10 , 0.000 , -0.000 , -0 
0.18 , -0.004 , -0.000 , 1 
0.26 , -0.005 , -0.000 , 1 
0.34 , -0.005 , -0.000 , 1 
0.42 , -0.005 , -0.000 , 1 
0.50 , -0.005 , -0.000 , 1 
0.57 , -0.005 , -0.000 , 1 
0.65 , -0.005 , -0.000 , 1 
0.75 , -0.005 , -0.000 , 1 
0.83 , -0.005 , -0.000 , 1 
0.91 , -0.005 , -0.000 , 1 
0.99 , -0.005 , -0.000 , 1 
1.07 , -0.005 , -0.000 , 1 
1.16 , -0.005 , -0.000 , 1 
1.25 , -0.005 , -0.000 , 1 
1.33 , 0.004 , 0.000 , 1 
1.44 , 0.023 , 0.001 , 1 
1.52 , 0.038 , 0.001 , 1 
1.60 , 0.052 , 0.001 , 1 
1.68 , 0.066 , 0.001 , 1 
1.76 , 0.083 , 0.002 , 1 
1.85 , 0.098 , 0.002 , 1 
1.94 , 0.115 , 0.002 , 1 
2.03 , 0.133 , 0.002 , 1 
2.14 , 0.152 , 0.002 , 1 
2.23 , 0.166 , 0.003 , 0 
2.30 , 0.180 , 0.003 , 0 
2.39 , 0.198 , 0.003 , 0 
2.48 , 0.212 , 0.003 , 0 
2.56 , 0.229 , 0.003 , 0 
2.66 , 0.246 , 0.003 , 0 
2.75 , 0.262 , 0.003 , 1 
2.83 , 0.278 , 0.003 , -0 
2.91 , 0.293 , 0.003 , -0 
2.99 , 0.307 , 0.003 , -0 
3.07 , 0.322 , 0.003 , -0 
3.15 , 0.336 , 0.003 , -0 
3.23 , 0.351 , 0.003 , -0 
3.31 , 0.368 , 0.003 , -0 
3.41 , 0.387 , 0.003 , 0 
3.52 , 0.405 , 0.003 , -0 
3.60 , 0.420 , 0.003 , -0 
3.68 , 0.434 , 0.003 , -0 
3.76 , 0.452 , 0.003 , -0 
3.86 , 0.469 , 0.002 , -0 
3.96 , 0.486 , 0.002 , -0 
4.05 , 0.504 , 0.002 , -1 
4.16 , 0.524 , 0.002 , -1 
4.24 , 0.539 , 0.002 , -1 
4.32 , 0.553 , 0.002 , -1 
4.40 , 0.568 , 0.001 , -1 
4.47 , 0.582 , 0.001 , -1 
4.56 , 0.599 , 0.001 , -1 
4.66 , 0.617 , 0.001 , -1 
4.75 , 0.636 , 0.001 , -0 
4.86 , 0.655 , 0.000 , -1 
4.94 , 0.669 , 0.000 , -1 
5.02 , 0.683 , -0.000 , -1 
5.10 , 0.698 , -0.000 , -1 
5.19 , 0.715 , -0.001 , -1 
5.28 , 0.733 , -0.001 , -1 
5.38 , 0.739 , -0.001 , -2 
5.47 , 0.739 , -0.001 , -2 
5.57 , 0.739 , -0.001 , -2 
5.64 , 0.737 , -0.001 , -5 
5.73 , 0.737 , -0.001 , -11 
5.81 , 0.738 , -0.001 , -19 
5.91 , 0.739 , -0.002 , -27 
6.00 , 0.740 , -0.002 , -35 
6.09 , 0.739 , -0.002 , -43 
6.21 , 0.740 , -0.003 , -52 
6.29 , 0.741 , -0.004 , -58 
6.36 , 0.742 , -0.007 , -60 
6.45 , 0.742 , -0.007 , -60 
6.53 , 0.742 , -0.007 , -60 
6.62 , 0.742 , -0.007 , -60 
6.72 , 0.742 , -0.007 , -60 
6.81 , 0.742 , -0.007 , -60 
6.92 , 0.742 , -0.007 , -60 
6.99 , 0.742 , -0.007 , -60 
7.07 , 0.746 , -0.013 , -59 
7.15 , 0.753 , -0.025 , -59 
7.23 , 0.760 , -0.037 , -60 
7.31 , 0.769 , -0.052 , -60 
7.41 , 0.778 , -0.068 , -60 
7.50 , 0.787 , -0.083 , -60 
7.58 , 0.794 , -0.095 , -60 
7.66 , 0.801 , -0.108 , -60 
7.74 , 0.808 , -0.120 , -60 
7.83 , 0.817 , -0.136 , -60 
7.92 , 0.824 , -0.148 , -60 
8.00 , 0.833 , -0.163 , -60 
8.09 , 0.842 , -0.179 , -60 
8.21 , 0.852 , -0.196 , -60 
8.29 , 0.859 , -0.209 , -60 
8.37 , 0.866 , -0.222 , -61 
8.45 , 0.873 , -0.235 , -61 
8.53 , 0.880 , -0.247 , -61 
8.60 , 0.888 , -0.260 , -61 
8.69 , 0.896 , -0.275 , -61 
8.78 , 0.905 , -0.291 , -61 
8.90 , 0.915 , -0.308 , -61 
8.98 , 0.922 , -0.321 , -61 
9.06 , 0.929 , -0.334 , -61 
9.13 , 0.936 , -0.346 , -61 
9.21 , 0.943 , -0.359 , -61 
9.29 , 0.950 , -0.372 , -61 
9.38 , 0.958 , -0.387 , -61 
9.46 , 0.965 , -0.400 , -61 
9.56 , 0.975 , -0.418 , -61 
9.64 , 0.982 , -0.430 , -61 
9.73 , 0.989 , -0.443 , -61 
9.80 , 0.996 , -0.456 , -61 
9.89 , 1.003 , -0.468 , -61 
9.96 , 1.010 , -0.481 , -61 
10.04 , 1.017 , -0.494 , -61 
10.12 , 1.024 , -0.507 , -61 
10.20 , 1.032 , -0.522 , -62 
10.29 , 1.039 , -0.535 , -61 
10.37 , 1.046 , -0.548 , -62 
10.44 , 1.053 , -0.561 , -62 
10.53 , 1.060 , -0.573 , -62 
10.60 , 1.067 , -0.586 , -62 
10.69 , 1.070 , -0.591 , -62 
10.78 , 1.070 , -0.591 , -62 
10.91 , 1.070 , -0.591 , -62 
10.99 , 1.070 , -0.591 , -62 
11.07 , 1.070 , -0.591 , -62 
11.15 , 1.070 , -0.591 , -62 
11.23 , 1.070 , -0.591 , -62 
11.31 , 1.070 , -0.591 , -62 
11.39 , 1.070 , -0.591 , -62 
11.49 , 1.070 , -0.591 , -62 
