time[s] , x_t[m] , y_t[m] ,theta[deg]
0.00 , 0.000 , 0.000 , 0.000 
0.07 , 0.001 , 0.000 , 0.108 
0.12 , -0.004 , -0.000 , 0.650 
0.16 , -0.006 , -0.000 , 1.409 
0.20 , -0.004 , -0.000 , 0.976 
0.24 , -0.004 , -0.000 , 0.759 
0.30 , -0.004 , -0.000 , 0.759 
0.34 , -0.004 , -0.000 , 0.759 
0.40 , -0.004 , -0.000 , 0.759 
0.45 , -0.004 , -0.000 , 0.759 
0.50 , -0.004 , -0.000 , 0.759 
0.56 , -0.004 , -0.000 , 0.759 
0.61 , -0.004 , -0.000 , 0.759 
0.67 , -0.004 , -0.000 , 0.759 
0.73 , -0.004 , -0.000 , 0.759 
0.80 , -0.004 , -0.000 , 0.759 
0.86 , -0.004 , -0.000 , 0.759 
0.92 , -0.004 , -0.000 , 0.759 
0.96 , -0.004 , -0.000 , 0.759 
1.01 , -0.004 , -0.000 , 0.759 
1.06 , -0.004 , -0.000 , 0.759 
1.12 , -0.004 , -0.000 , 0.759 
1.17 , 0.003 , 0.000 , 1.517 
1.23 , 0.016 , 0.000 , 1.734 
1.30 , 0.030 , 0.001 , 1.951 
1.35 , 0.041 , 0.001 , 2.059 
1.39 , 0.051 , 0.002 , 2.168 
1.45 , 0.066 , 0.002 , 2.276 
1.51 , 0.082 , 0.003 , 3.360 
1.58 , 0.094 , 0.004 , 2.493 
1.63 , 0.109 , 0.004 , 2.493 
1.70 , 0.123 , 0.005 , 2.601 
1.75 , 0.134 , 0.006 , 2.710 
1.79 , 0.145 , 0.006 , 2.710 
1.85 , 0.156 , 0.007 , 2.818 
1.89 , 0.167 , 0.007 , 2.818 
1.95 , 0.182 , 0.008 , 2.818 
2.01 , 0.197 , 0.009 , 2.927 
2.08 , 0.211 , 0.009 , 2.927 
2.13 , 0.225 , 0.010 , 2.927 
2.20 , 0.242 , 0.011 , 3.794 
2.27 , 0.254 , 0.012 , 3.035 
2.31 , 0.266 , 0.013 , 3.035 
2.37 , 0.276 , 0.013 , 3.035 
2.40 , 0.287 , 0.014 , 3.143 
2.46 , 0.302 , 0.015 , 3.143 
2.52 , 0.313 , 0.015 , 3.252 
2.57 , 0.324 , 0.016 , 3.252 
2.61 , 0.334 , 0.016 , 3.252 
2.66 , 0.345 , 0.017 , 3.252 
2.72 , 0.360 , 0.018 , 3.360 
2.78 , 0.375 , 0.019 , 3.360 
2.85 , 0.389 , 0.020 , 3.252 
2.91 , 0.403 , 0.020 , 3.360 
2.95 , 0.414 , 0.021 , 3.360 
3.00 , 0.425 , 0.022 , 3.468 
3.05 , 0.436 , 0.022 , 3.468 
3.09 , 0.447 , 0.023 , 3.468 
3.15 , 0.462 , 0.024 , 3.468 
3.21 , 0.476 , 0.025 , 3.577 
3.27 , 0.490 , 0.026 , 3.577 
3.33 , 0.501 , 0.026 , 3.577 
3.37 , 0.512 , 0.027 , 3.685 
3.42 , 0.523 , 0.028 , 3.685 
3.48 , 0.538 , 0.029 , 3.685 
3.54 , 0.554 , 0.030 , 4.661 
3.63 , 0.574 , 0.031 , 3.794 
3.69 , 0.585 , 0.032 , 3.902 
3.72 , 0.592 , 0.033 , 3.794 
3.76 , 0.603 , 0.033 , 3.902 
3.81 , 0.614 , 0.034 , 3.794 
3.87 , 0.625 , 0.035 , 3.794 
3.90 , 0.636 , 0.035 , 3.902 
3.96 , 0.650 , 0.036 , 3.794 
4.01 , 0.661 , 0.037 , 3.902 
4.08 , 0.675 , 0.038 , 3.902 
4.13 , 0.686 , 0.039 , 4.010 
4.17 , 0.697 , 0.040 , 3.902 
4.23 , 0.704 , 0.040 , 3.360 
4.29 , 0.704 , 0.040 , 3.143 
4.35 , 0.704 , 0.040 , 3.143 
4.39 , 0.704 , 0.040 , 3.143 
4.44 , 0.704 , 0.040 , 3.143 
4.50 , 0.704 , 0.040 , 3.143 
