time[s] , x_t[m] , y_t[m] ,theta[deg]
0.00 , 0.000 , 0.000 , 0.000 
0.06 , 0.000 , 0.000 , 0.000 
0.10 , -0.003 , -0.000 , 0.217 
0.16 , -0.004 , -0.000 , 0.976 
0.23 , -0.004 , -0.000 , 0.650 
0.29 , -0.004 , -0.000 , 0.650 
0.36 , -0.004 , -0.000 , 0.650 
0.43 , -0.004 , -0.000 , 0.650 
0.48 , -0.004 , -0.000 , 0.650 
0.52 , -0.004 , -0.000 , 0.650 
0.58 , -0.004 , -0.000 , 0.650 
0.62 , -0.004 , -0.000 , 0.650 
0.68 , -0.004 , -0.000 , 0.650 
0.74 , -0.004 , -0.000 , 0.650 
0.79 , -0.004 , -0.000 , 0.650 
0.85 , -0.004 , -0.000 , 0.650 
0.89 , -0.004 , -0.000 , 0.650 
0.95 , -0.004 , -0.000 , 0.650 
1.00 , -0.004 , -0.000 , 0.650 
1.06 , -0.004 , -0.000 , 0.650 
1.12 , -0.004 , -0.000 , 0.650 
1.20 , -0.004 , -0.000 , 0.650 
1.25 , -0.004 , -0.000 , 0.650 
1.29 , 0.001 , 0.000 , 1.192 
1.35 , 0.009 , 0.000 , 1.517 
1.40 , 0.018 , 0.001 , 1.517 
1.44 , 0.029 , 0.001 , 1.409 
1.48 , 0.039 , 0.001 , 1.192 
1.53 , 0.050 , 0.001 , 0.976 
1.59 , 0.064 , 0.001 , 0.759 
1.65 , 0.075 , 0.001 , 0.650 
1.69 , 0.086 , 0.002 , 0.434 
1.75 , 0.100 , 0.002 , 0.217 
1.80 , 0.115 , 0.002 , 0.000 
1.88 , 0.129 , 0.002 , -0.217 
1.93 , 0.144 , 0.001 , -0.434 
2.00 , 0.158 , 0.001 , -0.542 
2.05 , 0.170 , 0.001 , -0.759 
2.10 , 0.180 , 0.001 , -0.976 
2.14 , 0.191 , 0.001 , -1.084 
2.19 , 0.206 , 0.000 , -1.301 
2.26 , 0.220 , 0.000 , -1.517 
2.33 , 0.235 , -0.000 , -1.626 
2.38 , 0.246 , -0.001 , -1.734 
2.42 , 2.420 , 14.392 , 7101.618 
2.48 , 2.418 , 14.376 , 7102.268 
2.56 , 2.416 , 14.360 , 7101.184 
2.60 , 2.414 , 14.349 , 7101.076 
2.66 , 2.412 , 14.339 , 7100.967 
2.71 , 2.410 , 14.324 , 7100.859 
2.76 , 2.408 , 14.314 , 7100.751 
2.81 , 2.406 , 14.303 , 7100.642 
2.86 , 2.404 , 14.292 , 7100.642 
2.91 , 2.402 , 14.281 , 7100.534 
2.96 , 2.400 , 14.267 , 7100.317 
3.02 , 2.398 , 14.256 , 7100.209 
3.08 , 2.395 , 14.242 , 7099.992 
3.13 , 2.393 , 14.227 , 7099.884 
3.19 , 2.390 , 14.211 , 7100.534 
3.26 , 2.388 , 14.198 , 7099.450 
3.31 , 2.386 , 14.188 , 7099.342 
3.35 , 2.384 , 14.177 , 7099.233 
3.41 , 2.381 , 14.163 , 7099.125 
3.46 , 2.379 , 14.152 , 7099.016 
3.53 , 2.376 , 14.138 , 7098.908 
3.58 , 2.374 , 14.127 , 7098.800 
3.63 , 2.372 , 14.117 , 7098.691 
3.68 , 2.369 , 14.103 , 7098.583 
3.75 , 2.366 , 14.088 , 7098.475 
3.80 , 2.363 , 14.074 , 7098.366 
3.87 , 2.359 , 14.058 , 7099.016 
3.93 , 2.357 , 14.046 , 7098.041 
3.97 , 2.355 , 14.039 , 7097.933 
4.00 , 2.354 , 14.031 , 7097.824 
4.04 , 2.351 , 14.021 , 7097.716 
4.09 , 2.349 , 14.010 , 7097.607 
4.14 , 2.347 , 13.999 , 7097.499 
4.19 , 2.343 , 13.985 , 7097.391 
4.25 , 2.341 , 13.975 , 7097.282 
4.31 , 2.338 , 13.961 , 7097.174 
4.36 , 2.335 , 13.950 , 7097.065 
4.41 , 2.332 , 13.936 , 7096.849 
4.48 , 2.328 , 13.922 , 7096.740 
4.55 , 2.325 , 13.906 , 7097.499 
4.63 , 2.321 , 13.890 , 7096.415 
4.67 , 2.318 , 13.880 , 7096.307 
4.72 , 2.316 , 13.869 , 7096.198 
4.76 , 2.313 , 13.859 , 7096.090 
4.81 , 2.310 , 13.848 , 7095.982 
4.86 , 2.308 , 13.838 , 7095.982 
4.91 , 2.304 , 13.824 , 7095.765 
4.97 , 2.301 , 13.813 , 7095.656 
5.03 , 2.298 , 13.799 , 7095.548 
5.09 , 2.294 , 13.785 , 7095.331 
5.14 , 2.291 , 13.774 , 7095.223 
5.20 , 2.287 , 13.760 , 7095.114 
5.26 , 2.284 , 13.747 , 7094.898 
5.31 , 2.281 , 13.736 , 7094.789 
5.35 , 2.278 , 13.726 , 7094.681 
5.40 , 2.275 , 13.715 , 7094.572 
5.45 , 2.272 , 13.705 , 7094.572 
5.50 , 2.269 , 13.694 , 7094.464 
5.54 , 2.266 , 13.684 , 7094.356 
5.59 , 2.263 , 13.674 , 7094.247 
5.64 , 2.260 , 13.663 , 7094.139 
5.69 , 2.256 , 13.649 , 7094.031 
5.75 , 2.253 , 13.639 , 7094.031 
5.81 , 2.249 , 13.624 , 7093.814 
5.87 , 2.245 , 13.610 , 7093.597 
5.93 , 2.240 , 13.595 , 7094.464 
5.99 , 2.236 , 13.582 , 7093.380 
6.05 , 2.233 , 13.571 , 7093.272 
6.09 , 2.230 , 13.561 , 7093.163 
6.15 , 2.227 , 13.551 , 7093.055 
6.20 , 2.222 , 13.536 , 7092.947 
6.26 , 2.218 , 13.522 , 7092.730 
6.32 , 2.215 , 13.512 , 7092.621 
6.35 , 2.211 , 13.502 , 7092.513 
6.41 , 2.209 , 13.496 , 7091.646 
6.46 , 2.209 , 13.495 , 7091.538 
6.52 , 2.209 , 13.495 , 7091.538 
6.57 , 2.209 , 13.495 , 7091.538 
6.65 , 2.209 , 13.495 , 7091.538 
6.71 , 2.209 , 13.495 , 7091.538 
6.76 , 2.209 , 13.495 , 7091.538 
6.80 , 2.209 , 13.495 , 7091.538 
6.86 , 2.209 , 13.495 , 7091.538 
6.91 , 2.209 , 13.495 , 7091.538 
6.98 , 2.209 , 13.495 , 7091.538 
7.04 , 2.209 , 13.495 , 7091.538 
7.09 , 2.209 , 13.495 , 7091.538 
7.14 , 2.209 , 13.495 , 7091.538 
7.19 , 2.209 , 13.495 , 7091.538 
7.24 , 2.209 , 13.495 , 7091.538 
7.31 , 2.209 , 13.495 , 7091.538 
7.36 , 2.209 , 13.495 , 7091.538 
7.40 , 2.209 , 13.495 , 7091.538 
7.46 , 2.209 , 13.495 , 7091.538 
7.53 , 2.209 , 13.495 , 7091.538 
7.58 , 2.209 , 13.495 , 7091.538 
7.62 , 2.209 , 13.495 , 7091.538 
7.68 , 2.209 , 13.495 , 7091.538 
7.74 , 2.209 , 13.495 , 7091.538 
7.81 , 2.209 , 13.495 , 7091.538 
7.88 , 2.209 , 13.495 , 7091.538 
7.93 , 2.209 , 13.495 , 7091.538 
8.01 , 2.209 , 13.495 , 7091.538 
8.06 , 2.209 , 13.495 , 7091.538 
8.11 , 2.209 , 13.495 , 7091.538 
8.15 , 2.209 , 13.495 , 7091.538 
8.21 , 2.209 , 13.495 , 7091.538 
8.25 , 2.209 , 13.495 , 7091.538 
8.29 , 2.209 , 13.495 , 7091.538 
8.35 , 2.209 , 13.495 , 7091.538 
8.39 , 2.209 , 13.495 , 7091.538 
8.45 , 2.209 , 13.495 , 7091.538 
8.51 , 2.209 , 13.495 , 7091.538 
8.58 , 2.209 , 13.495 , 7091.538 
8.63 , 2.209 , 13.495 , 7091.538 
8.70 , 2.209 , 13.495 , 7091.538 
8.74 , 2.209 , 13.495 , 7091.538 
8.77 , 2.209 , 13.495 , 7091.538 
8.81 , 2.209 , 13.495 , 7091.538 
8.86 , 2.209 , 13.495 , 7091.538 
8.91 , 2.209 , 13.495 , 7091.538 
8.98 , 2.209 , 13.495 , 7091.538 
9.04 , 2.209 , 13.495 , 7091.538 
9.09 , 2.209 , 13.495 , 7091.538 
9.15 , 2.209 , 13.495 , 7091.538 
9.19 , 2.209 , 13.495 , 7091.538 
9.25 , 2.209 , 13.495 , 7091.538 
9.30 , 2.209 , 13.495 , 7091.538 
9.39 , 2.209 , 13.495 , 7091.538 
9.45 , 2.209 , 13.495 , 7091.538 
9.50 , 2.209 , 13.495 , 7091.538 
9.54 , 2.209 , 13.495 , 7091.538 
9.60 , 2.209 , 13.495 , 7091.538 
9.65 , 2.209 , 13.495 , 7091.538 
9.70 , 2.209 , 13.495 , 7091.538 
9.75 , 2.209 , 13.495 , 7091.538 
9.81 , 2.209 , 13.495 , 7091.538 
9.87 , 2.209 , 13.495 , 7091.538 
9.93 , 2.209 , 13.495 , 7091.538 
9.99 , 2.209 , 13.495 , 7091.538 
10.06 , 2.209 , 13.495 , 7091.538 
10.11 , 2.209 , 13.495 , 7091.538 
10.15 , 2.209 , 13.495 , 7091.538 
10.21 , 2.209 , 13.495 , 7091.538 
10.28 , 2.209 , 13.495 , 7091.538 
10.33 , 2.209 , 13.495 , 7091.538 
10.38 , 2.209 , 13.495 , 7091.538 
10.43 , 2.209 , 13.495 , 7091.538 
10.49 , 2.209 , 13.495 , 7091.538 
10.54 , 2.209 , 13.495 , 7091.538 
10.61 , 2.209 , 13.495 , 7091.538 
10.68 , 2.209 , 13.495 , 7091.538 
10.75 , 2.209 , 13.495 , 7091.538 
10.79 , 2.209 , 13.495 , 7091.538 
10.84 , 2.209 , 13.495 , 7091.538 
10.89 , 2.209 , 13.495 , 7091.538 
10.95 , 2.209 , 13.495 , 7091.538 
11.01 , 2.209 , 13.495 , 7091.538 
11.07 , 2.209 , 13.495 , 7091.538 
11.13 , 2.209 , 13.495 , 7091.538 
11.17 , 2.209 , 13.495 , 7091.538 
11.23 , 2.209 , 13.495 , 7091.538 
11.29 , 2.209 , 13.495 , 7091.538 
11.35 , 2.209 , 13.495 , 7091.538 
11.41 , 2.209 , 13.495 , 7091.538 
11.46 , 2.209 , 13.495 , 7091.538 
11.50 , 2.209 , 13.495 , 7091.538 
11.55 , 2.209 , 13.495 , 7091.538 
11.60 , 2.209 , 13.495 , 7091.538 
11.65 , 2.209 , 13.495 , 7091.538 
11.70 , 2.209 , 13.495 , 7091.538 
11.75 , 2.209 , 13.495 , 7091.538 
11.80 , 2.209 , 13.495 , 7091.538 
11.87 , 2.209 , 13.495 , 7091.538 
11.93 , 2.209 , 13.495 , 7091.538 
11.99 , 2.209 , 13.495 , 7091.538 
12.06 , 2.209 , 13.495 , 7091.538 
12.12 , 2.209 , 13.495 , 7091.538 
12.18 , 2.209 , 13.495 , 7091.538 
12.24 , 2.209 , 13.495 , 7091.538 
12.28 , 2.209 , 13.495 , 7091.538 
12.33 , 2.209 , 13.495 , 7091.538 
12.38 , 2.209 , 13.495 , 7091.538 
