time[s] , x_t[m] , y_t[m] ,theta[deg]
0.00 , 0.000 , 0.000 , 0.000 
0.06 , 0.000 , 0.000 , 0.000 
0.10 , -0.003 , -0.000 , 0.217 
0.16 , -0.004 , -0.000 , 0.650 
0.22 , -0.004 , -0.000 , 0.434 
0.28 , -0.004 , -0.000 , 0.434 
0.33 , -0.004 , -0.000 , 0.434 
0.37 , -0.004 , -0.000 , 0.434 
0.42 , -0.004 , -0.000 , 0.434 
0.48 , -0.004 , -0.000 , 0.434 
0.53 , -0.004 , -0.000 , 0.434 
0.59 , -0.004 , -0.000 , 0.434 
0.65 , -0.004 , -0.000 , 0.434 
0.70 , -0.004 , -0.000 , 0.434 
0.76 , -0.004 , -0.000 , 0.434 
0.79 , -0.005 , -0.000 , -0.650 
0.83 , -0.006 , 0.000 , -4.227 
0.89 , -0.006 , 0.000 , -8.888 
0.94 , -0.007 , 0.000 , -15.500 
1.01 , -0.007 , 0.000 , -22.437 
1.07 , -0.008 , 0.001 , -29.374 
1.12 , -0.008 , 0.001 , -34.468 
1.17 , -0.008 , 0.001 , -41.405 
1.24 , -0.010 , 0.003 , -48.992 
1.32 , -0.009 , 0.002 , -56.688 
1.37 , -0.009 , 0.002 , -61.891 
1.41 , -0.009 , 0.002 , -66.985 
1.46 , -0.009 , 0.002 , -72.079 
1.51 , -0.009 , 0.002 , -77.282 
1.54 , -0.009 , 0.003 , -80.642 
1.59 , -0.009 , 0.003 , -85.737 
1.64 , -0.009 , 0.003 , -91.048 
1.69 , -0.009 , 0.003 , -97.876 
1.75 , -0.009 , 0.003 , -104.705 
1.82 , -0.009 , 0.004 , -111.642 
1.88 , -0.009 , 0.004 , -118.579 
1.93 , -0.009 , 0.004 , -123.890 
1.99 , -0.008 , 0.005 , -131.694 
2.06 , -0.009 , 0.004 , -137.764 
2.11 , -0.009 , 0.004 , -142.967 
2.14 , -0.009 , 0.004 , -148.169 
2.21 , -0.009 , 0.004 , -155.106 
2.27 , -0.009 , 0.004 , -162.043 
2.32 , -0.009 , 0.004 , -167.246 
2.37 , -0.009 , 0.004 , -172.449 
2.42 , -0.008 , 0.004 , -177.543 
2.47 , -0.008 , 0.004 , -184.480 
2.53 , -0.009 , 0.004 , -191.525 
2.60 , -0.009 , 0.004 , -198.462 
2.66 , -0.007 , 0.004 , -206.050 
2.74 , -0.008 , 0.005 , -213.854 
2.79 , -0.008 , 0.005 , -219.057 
2.84 , -0.008 , 0.005 , -224.259 
2.88 , -0.008 , 0.005 , -229.462 
2.94 , -0.008 , 0.005 , -234.448 
2.99 , -0.008 , 0.005 , -241.385 
3.05 , -0.009 , 0.005 , -248.214 
3.11 , -0.009 , 0.005 , -253.416 
3.16 , -0.009 , 0.005 , -260.245 
3.22 , -0.009 , 0.005 , -267.073 
3.29 , -0.009 , 0.005 , -273.902 
3.36 , -0.009 , 0.005 , -280.839 
3.42 , -0.009 , 0.005 , -287.668 
3.47 , -0.009 , 0.005 , -294.496 
3.52 , -0.009 , 0.005 , -299.699 
3.57 , -0.009 , 0.005 , -304.902 
3.62 , -0.009 , 0.005 , -310.104 
3.67 , -0.009 , 0.005 , -317.041 
3.72 , -0.009 , 0.005 , -322.244 
3.78 , -0.008 , 0.005 , -329.289 
3.86 , -0.008 , 0.005 , -336.226 
3.90 , -0.009 , 0.005 , -343.272 
3.97 , -0.009 , 0.005 , -350.209 
4.04 , -0.009 , 0.005 , -357.146 
4.11 , -0.009 , 0.005 , -364.733 
4.16 , -0.004 , 0.005 , -365.817 
4.21 , -0.003 , 0.005 , -366.142 
4.25 , -0.003 , 0.005 , -366.034 
4.30 , -0.003 , 0.005 , -366.034 
4.36 , -0.003 , 0.005 , -366.034 
4.41 , -0.003 , 0.005 , -366.034 
4.46 , -0.003 , 0.005 , -366.034 
4.51 , -0.003 , 0.005 , -366.034 
4.56 , -0.003 , 0.005 , -366.034 
4.62 , -0.003 , 0.005 , -366.034 
4.67 , -0.003 , 0.005 , -366.034 
4.74 , -0.003 , 0.005 , -366.034 
4.80 , -0.003 , 0.005 , -366.034 
4.86 , -0.003 , 0.005 , -366.034 
4.91 , -0.003 , 0.005 , -366.034 
4.96 , -0.003 , 0.005 , -366.034 
5.02 , -0.003 , 0.005 , -366.034 
5.07 , -0.003 , 0.005 , -366.034 
5.12 , -0.003 , 0.005 , -366.034 
5.16 , -0.003 , 0.005 , -366.034 
5.21 , -0.003 , 0.005 , -366.034 
5.26 , -0.003 , 0.005 , -366.034 
5.33 , -0.003 , 0.005 , -366.034 
5.41 , -0.003 , 0.005 , -366.034 
5.47 , -0.003 , 0.005 , -366.034 
5.55 , -0.003 , 0.005 , -366.034 
5.61 , -0.003 , 0.005 , -366.034 
5.66 , -0.003 , 0.005 , -366.034 
5.72 , -0.003 , 0.005 , -366.034 
5.77 , -0.003 , 0.005 , -366.034 
5.82 , -0.003 , 0.005 , -366.034 
5.87 , -0.003 , 0.005 , -366.034 
5.92 , -0.003 , 0.005 , -366.034 
5.98 , -0.003 , 0.005 , -366.034 
6.03 , -0.003 , 0.005 , -366.034 
6.10 , -0.003 , 0.005 , -366.034 
6.16 , -0.003 , 0.005 , -366.034 
6.22 , -0.003 , 0.005 , -366.034 
6.26 , -0.003 , 0.005 , -366.034 
6.30 , -0.003 , 0.005 , -366.034 
6.36 , -0.003 , 0.005 , -366.034 
6.41 , -0.003 , 0.005 , -366.034 
6.47 , -0.003 , 0.005 , -366.034 
6.53 , -0.003 , 0.005 , -366.034 
6.56 , -0.003 , 0.005 , -366.034 
6.62 , -0.003 , 0.005 , -366.034 
6.69 , -0.003 , 0.005 , -366.034 
6.75 , -0.003 , 0.005 , -366.034 
6.81 , -0.003 , 0.005 , -366.034 
6.89 , -0.003 , 0.005 , -366.034 
6.94 , -0.003 , 0.005 , -366.034 
6.99 , -0.003 , 0.005 , -366.034 
7.04 , -0.003 , 0.005 , -366.034 
7.09 , -0.003 , 0.005 , -366.034 
