Format Version,1.24,Take Name,Take 2023-11-28 11.22.44 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-11-28 11.22.44.891 午前,Capture Start Frame,925379,Total Frames in Take,1398,Total Exported Frames,1398,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Rigid Body 001:Marker 004,Rigid Body 001:Marker 004,Rigid Body 001:Marker 004,Rigid Body 001:Marker 005,Rigid Body 001:Marker 005,Rigid Body 001:Marker 005,Rigid Body 001:Marker 006,Rigid Body 001:Marker 006,Rigid Body 001:Marker 006,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Rigid Body 001:Marker 004,Rigid Body 001:Marker 004,Rigid Body 001:Marker 004,Rigid Body 001:Marker 005,Rigid Body 001:Marker 005,Rigid Body 001:Marker 005,Rigid Body 001:Marker 006,Rigid Body 001:Marker 006,Rigid Body 001:Marker 006
,ID,9D2F0BF18D9411EE511E8754224854B3,9D2F0BF18D9411EE511E8754224854B3,9D2F0BF18D9411EE511E8754224854B3,9D2F0BF18D9411EE511E8754224854B3,9D2F0BF18D9411EE511E8754224854B3,9D2F0BF18D9411EE511E8754224854B3,9D2F0BF18D9411EE511E8754224854B3,9D2F0BF18D9411EE511E8754224854B3,9D2F0BF18D9411EE511E8754224854B3,9D2F0BF18D9411EE511E8754224854B3,9D2F0BF18D9411EE511E8754224854B3,9D2F0BF18D9411EE511E8754224854B3,9D2F0BF18D9411EE511E8754224854B3,9D2F0BF18D9411EE511E8754224854B3,9D2F0BF18D9411EE511E8754224854B3,9D2F0BF18D9411EE511E8754224854B3,9D2F0BF18D9411EE511E8754224854B3,9D2F0BF18D9411EE511E8754224854B3,9D2F0BF18D9411EE511E8754224854B3,9D2F0BF18D9411EE511E8754224854B3,9D2F0BF18D9411EE511E8754224854B3,9D2F0BF18D9411EE511E8754224854B3,9D2F0BF18D9411EE511E8754224854B3,9D2F0BF18D9411EE511E8754224854B3,"33A94D38D9511EE511E8754224854B3","33A94D38D9511EE511E8754224854B3","33A94D38D9511EE511E8754224854B3","33A94D48D9511EE511E8754224854B3","33A94D48D9511EE511E8754224854B3","33A94D48D9511EE511E8754224854B3","33A94D58D9511EE511E8754224854B3","33A94D58D9511EE511E8754224854B3","33A94D58D9511EE511E8754224854B3","33A94D68D9511EE511E8754224854B3","33A94D68D9511EE511E8754224854B3","33A94D68D9511EE511E8754224854B3","33A94D78D9511EE511E8754224854B3","33A94D78D9511EE511E8754224854B3","33A94D78D9511EE511E8754224854B3","33A94D88D9511EE511E8754224854B3","33A94D88D9511EE511E8754224854B3","33A94D88D9511EE511E8754224854B3"
,,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.026786,-5.468086,0.036983,0.012313,0.286558,-0.006802,-0.013674,0.286381,0.131884,-0.087511,0.286748,0.064198,0.104123,0.288011,0.068268,0.112424,0.287140,-0.077390,0.035316,0.285198,-0.145284,-0.076803,0.285870,-0.082489,-0.013690,0.286319,0.131878,-0.087529,0.286704,0.064170,0.104219,0.288130,0.068293,0.112376,0.287087,-0.077365,0.035255,0.285140,-0.145269,-0.076747,0.285982,-0.082521
1,0.008333,0.043639,-5.474586,0.037857,0.012291,0.286562,-0.006745,-0.013712,0.286344,0.131938,-0.087541,0.286729,0.064244,0.104093,0.287994,0.068335,0.112410,0.287166,-0.077322,0.035309,0.285243,-0.145225,-0.076816,0.285894,-0.082443,-0.013712,0.286266,0.131935,-0.087565,0.286708,0.064221,0.104179,0.288113,0.068392,0.112353,0.287145,-0.077321,0.035255,0.285170,-0.145199,-0.076744,0.286026,-0.082485
2,0.016667,0.038839,-5.463813,0.032351,0.012375,0.286667,-0.006795,-0.013601,0.286462,0.131894,-0.087444,0.286850,0.064213,0.104191,0.288096,0.068268,0.112480,0.287257,-0.077391,0.035367,0.285336,-0.145279,-0.076746,0.286003,-0.082476,-0.013568,0.286402,0.131908,-0.087495,0.286836,0.064151,0.104260,0.288179,0.068346,0.112453,0.287234,-0.077392,0.035303,0.285282,-0.145290,-0.076702,0.286075,-0.082491
3,0.025000,0.040063,-5.462563,0.031364,0.012357,0.286675,-0.006834,-0.013616,0.286468,0.131855,-0.087460,0.286858,0.064175,0.104175,0.288101,0.068227,0.112461,0.287265,-0.077432,0.035346,0.285347,-0.145319,-0.076766,0.286014,-0.082513,-0.013624,0.286382,0.131885,-0.087484,0.286845,0.064115,0.104238,0.288170,0.068291,0.112411,0.287268,-0.077417,0.035252,0.285245,-0.145333,-0.076705,0.286098,-0.082544
4,0.033333,0.028092,-5.467779,0.022244,0.012295,0.286612,-0.006833,-0.013690,0.286435,0.131854,-0.087528,0.286824,0.064168,0.104107,0.288038,0.068237,0.112406,0.287172,-0.077421,0.035297,0.285253,-0.145315,-0.076820,0.285950,-0.082519,-0.013687,0.286352,0.131856,-0.087595,0.286795,0.064120,0.104182,0.288130,0.068294,0.112359,0.287111,-0.077380,0.035208,0.285189,-0.145327,-0.076763,0.286016,-0.082530
5,0.041667,0.026912,-5.469625,0.030424,0.012294,0.286562,-0.006772,-0.013696,0.286386,0.131914,-0.087531,0.286762,0.064225,0.104103,0.288003,0.068300,0.112407,0.287133,-0.077358,0.035300,0.285201,-0.145253,-0.076819,0.285884,-0.082462,-0.013689,0.286306,0.131933,-0.087553,0.286735,0.064204,0.104156,0.288095,0.068388,0.112392,0.287083,-0.077330,0.035218,0.285149,-0.145276,-0.076779,0.285946,-0.082486
