time[s] , x_t[m] , y_t[m] ,theta[deg]
0.00 , 0.000 , 0.000 , 0 
0.09 , 0.000 , 0.000 , 0 
0.17 , 0.000 , 0.000 , 0 
0.25 , 0.000 , 0.000 , 0 
0.33 , 0.000 , 0.000 , 0 
0.42 , 0.000 , 0.000 , 0 
0.52 , 0.000 , 0.000 , 0 
0.60 , 0.000 , 0.000 , 0 
0.68 , 0.000 , 0.000 , 0 
0.76 , 0.000 , 0.000 , 0 
0.84 , 0.000 , 0.000 , 0 
0.92 , 0.000 , 0.000 , 0 
1.00 , 0.000 , 0.000 , 0 
1.09 , 0.000 , 0.000 , 0 
1.19 , 0.000 , 0.000 , 0 
1.28 , 0.000 , 0.000 , 0 
1.37 , 0.000 , 0.000 , 0 
1.45 , 0.000 , 0.000 , 0 
1.52 , 0.000 , 0.000 , 0 
1.60 , 0.000 , 0.000 , 0 
1.68 , 0.000 , 0.000 , 0 
1.76 , 0.010 , 0.000 , 1 
1.86 , 0.030 , 0.001 , 2 
1.96 , 0.048 , 0.001 , 2 
2.04 , 0.064 , 0.002 , 2 
2.12 , 0.080 , 0.002 , 2 
2.20 , 0.096 , 0.003 , 3 
2.28 , 0.115 , 0.004 , 3 
2.37 , 0.135 , 0.005 , 3 
2.47 , 0.155 , 0.007 , 4 
2.58 , 0.178 , 0.008 , 4 
2.66 , 0.194 , 0.009 , 4 
2.74 , 0.211 , 0.011 , 4 
2.82 , 0.227 , 0.012 , 5 
2.90 , 0.243 , 0.013 , 5 
2.98 , 0.260 , 0.015 , 5 
3.06 , 0.279 , 0.017 , 5 
3.15 , 0.299 , 0.019 , 6 
3.25 , 0.318 , 0.021 , 6 
3.33 , 0.335 , 0.023 , 6 
3.41 , 0.341 , 0.023 , 6 
3.49 , 0.342 , 0.023 , 6 
3.57 , 0.342 , 0.023 , 6 
3.65 , 0.342 , 0.023 , 6 
3.73 , 0.342 , 0.023 , 6 
3.83 , 0.342 , 0.023 , 6 
3.92 , 0.342 , 0.023 , 6 
4.02 , 0.342 , 0.023 , 6 
4.10 , 0.342 , 0.023 , 6 
4.18 , 0.342 , 0.023 , 6 
4.26 , 0.342 , 0.023 , 6 
4.34 , 0.342 , 0.023 , 6 
4.42 , 0.342 , 0.023 , 6 
4.51 , 0.342 , 0.023 , 6 
4.63 , 0.342 , 0.023 , 6 
4.71 , 0.342 , 0.023 , 6 
4.79 , 0.342 , 0.023 , 6 
4.87 , 0.342 , 0.023 , 6 
4.95 , 0.342 , 0.023 , 6 
