time,odo_x,odo_y,odo_theta,odo_v,odo_w,enc_left,enc_right
10688,0.00000000,0.00000000,11.89520979,0.00027284,0.00061443,4362,7501
10738,0.00001068,-0.00000848,11.89520979,0.01781060,0.00000000,4363,7502
10788,0.00069411,-0.00055122,11.89520979,0.00000000,0.00000000,4363,7502
10848,0.00069411,-0.00055122,11.89520979,0.00000000,0.00000000,4363,7502
10898,0.00069411,-0.00055122,11.89520979,0.00000000,0.00000000,4363,7502
10948,0.00069411,-0.00055122,11.89520979,0.00000000,0.00000000,4363,7502
10998,0.00069411,-0.00055122,11.89520979,0.00000000,0.00000000,4363,7502
11048,0.00069411,-0.00055122,11.89520979,0.00000000,0.00000000,4363,7502
11104,0.00069411,-0.00055122,11.89520979,0.00000000,0.00000000,4363,7502
11154,0.00069411,-0.00055122,11.89520979,0.00000000,0.00000000,4363,7502
11204,0.00069411,-0.00055122,11.89520979,0.00000000,0.00000000,4363,7502
11264,0.00069411,-0.00055122,11.89520979,0.00000000,0.00000000,4363,7502
11314,0.00069411,-0.00055122,11.89520979,0.00000000,0.00000000,4363,7502
11364,0.00069411,-0.00055122,11.89520979,0.00000000,0.00000000,4363,7502
11414,0.00069411,-0.00055122,11.89520979,0.00000000,0.00000000,4363,7502
11464,0.00069411,-0.00055122,11.89520979,0.00000000,0.00000000,4363,7502
11514,0.00069411,-0.00055122,11.89520979,0.00000000,0.00000000,4363,7502
11564,0.00069411,-0.00055122,11.89520979,0.00000000,0.00000000,4363,7502
11614,0.00069411,-0.00055122,11.89520979,0.00000000,0.00000000,4363,7502
11664,0.00069411,-0.00055122,11.89520979,0.00000000,0.00000000,4363,7502
11714,0.00069411,-0.00055122,11.89520979,0.00000000,0.00000000,4363,7502
11764,0.00069411,-0.00055122,11.89520979,0.00000000,0.00000000,4363,7502
11814,0.00069411,-0.00055122,11.89520979,0.00000000,0.00000000,4363,7502
11864,0.00069411,-0.00055122,11.89520979,0.00000000,0.00000000,4363,7502
11914,0.00069411,-0.00055122,11.89520979,0.00000000,0.00000000,4363,7502
11964,0.00069411,-0.00055122,11.89520979,0.00000000,0.00000000,4363,7502
12014,0.00069411,-0.00055122,11.89520979,0.00000000,0.00000000,4363,7502
12064,0.00069411,-0.00055122,11.89520979,0.00000000,0.00000000,4363,7502
12114,0.00069411,-0.00055122,11.89520979,0.00000000,0.00000000,4363,7502
12164,0.00069411,-0.00055122,11.89520979,0.00000000,0.00000000,4363,7502
12214,0.00069411,-0.00055122,11.90278877,0.01817409,0.15467307,4363,7504
12264,0.00140998,-0.00111093,11.91036775,0.16029544,0.15157961,4371,7514
12314,0.00776118,-0.00599958,11.92173622,0.29387497,0.22736941,4386,7532
12364,0.01927128,-0.01465255,11.92173622,0.38165580,0.00000000,4407,7553
12414,0.03452452,-0.02611952,11.91794673,0.38292799,-0.07578980,4429,7574
12464,0.04978491,-0.03768262,11.91415724,0.50760221,-0.07578980,4458,7602
12514,0.06995556,-0.05308700,11.91415724,0.37402268,0.00000000,4479,7623
12564,0.08481814,-0.06443760,11.91415724,0.37402268,0.00000000,4500,7644
12614,0.09968072,-0.07578820,11.91415724,0.37402268,0.00000000,4521,7665
12664,0.11454331,-0.08713879,11.91794673,0.38292799,0.07578980,4542,7687
12714,0.12980369,-0.09870190,11.91794673,0.49869691,0.00000000,4570,7715
12764,0.14967767,-0.11376082,11.91794673,0.37402268,0.00000000,4591,7736
12814,0.16458316,-0.12505501,11.91794673,0.37402268,0.00000000,4612,7757
12864,0.17948865,-0.13634921,11.91794673,0.37402268,0.00000000,4633,7778
12914,0.19439414,-0.14764340,11.92173622,0.36511738,0.07578980,4653,7799
12964,0.20898641,-0.15861347,11.92173622,0.49869691,0.00000000,4681,7827
13014,0.22891732,-0.17359697,11.92552571,0.38292799,0.07578980,4702,7849
13064,0.24426490,-0.18504408,11.92173622,0.36511738,-0.07578980,4723,7869
13114,0.25856533,-0.19579475,11.92552571,0.39074284,0.07733654,4744,7891
13164,0.27422612,-0.20747548,11.92552571,0.37402268,0.00000000,4765,7912
13215,0.28921678,-0.21865638,11.92173622,0.48979161,-0.07578980,4793,7939
13265,0.30879178,-0.23337232,11.92173622,0.39183329,0.00000000,4815,7961
13315,0.32413858,-0.24490962,11.94447316,0.43617806,0.46401921,4836,7988
13365,0.34186430,-0.25761501,11.92552571,0.31168557,-0.37894902,4856,8003
