time,odo_x,odo_y,odo_theta,odo_v,odo_w,enc_left,enc_right
10666,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,19167,3014
10716,0.00000000,0.00000000,-0.00189475,0.01335795,-0.03789490,19169,3015
10766,0.00066790,-0.00000127,-0.00189475,0.00000000,0.00000000,19169,3015
10817,0.00066790,-0.00000127,-0.00189475,0.00000000,0.00000000,19169,3015
10867,0.00066790,-0.00000127,-0.00189475,0.00000000,0.00000000,19169,3015
10922,0.00066790,-0.00000127,-0.00189475,0.00000000,0.00000000,19169,3015
10972,0.00066790,-0.00000127,-0.00189475,0.00000000,0.00000000,19169,3015
11034,0.00066790,-0.00000127,-0.00189475,0.00000000,0.00000000,19169,3015
11084,0.00066790,-0.00000127,-0.00189475,0.00000000,0.00000000,19169,3015
11134,0.00066790,-0.00000127,-0.00189475,0.00000000,0.00000000,19169,3015
11184,0.00066790,-0.00000127,-0.00189475,0.00000000,0.00000000,19169,3015
11234,0.00066790,-0.00000127,-0.00189475,0.00000000,0.00000000,19169,3015
11284,0.00066790,-0.00000127,-0.00189475,0.00000000,0.00000000,19169,3015
11334,0.00066790,-0.00000127,-0.00189475,0.00000000,0.00000000,19169,3015
11384,0.00066790,-0.00000127,-0.00189475,0.00000000,0.00000000,19169,3015
11434,0.00066790,-0.00000127,-0.00189475,0.00000000,0.00000000,19169,3015
11484,0.00066790,-0.00000127,-0.00189475,0.00000000,0.00000000,19169,3015
11534,0.00066790,-0.00000127,-0.00189475,0.00000000,0.00000000,19169,3015
11584,0.00066790,-0.00000127,-0.00189475,0.00000000,0.00000000,19169,3015
11634,0.00066790,-0.00000127,-0.00189475,0.00000000,0.00000000,19169,3015
11684,0.00066790,-0.00000127,-0.00189475,0.00000000,0.00000000,19169,3015
11737,0.00066790,-0.00000127,-0.00189475,0.00000000,0.00000000,19169,3015
11787,0.00066790,-0.00000127,-0.00189475,0.00000000,0.00000000,19169,3015
11837,0.00066790,-0.00000127,-0.00189475,0.00000000,0.00000000,19169,3015
11887,0.00066790,-0.00000127,-0.00189475,0.00000000,0.00000000,19169,3015
11937,0.00066790,-0.00000127,-0.00189475,0.00000000,0.00000000,19169,3015
11987,0.00066790,-0.00000127,-0.00189475,0.00000000,0.00000000,19169,3015
12037,0.00066790,-0.00000127,-0.00189475,0.00000000,0.00000000,19169,3015
12087,0.00066790,-0.00000127,-0.00189475,0.00000000,0.00000000,19169,3015
12137,0.00066790,-0.00000127,-0.00189475,0.00000000,0.00000000,19169,3015
12187,0.00066790,-0.00000127,-0.00189475,0.00000000,0.00000000,19169,3015
12237,0.00066790,-0.00000127,-0.00189475,0.00000000,0.00000000,19169,3015
12287,0.00066790,-0.00000127,-0.00189475,0.00000000,0.00000000,19169,3015
12337,0.00066790,-0.00000127,-0.00189475,0.00000000,0.00000000,19169,3015
12387,0.00066790,-0.00000127,-0.00189475,0.00000000,0.00000000,19169,3015
12441,0.00066790,-0.00000127,-0.00189475,0.00000000,0.00000000,19169,3015
12491,0.00066790,-0.00000127,-0.00189475,0.00000000,0.00000000,19169,3015
12541,0.00066790,-0.00000127,0.00568424,0.02671591,0.15157961,19170,3020
12591,0.00200367,0.00000633,0.01136847,0.10241097,0.11368471,19180,3033
12641,0.00702148,0.00006337,0.01326322,0.16811029,0.03866827,19198,3052
12691,0.01542626,0.00017486,0.01326322,0.25825376,0.00000000,19227,3081
12741,0.02833781,0.00034611,0.01515796,0.19146399,0.03789490,19248,3103
12791,0.03790991,0.00049122,0.01515796,0.18701134,0.00000000,19269,3124
12841,0.04707241,0.00063011,0.01515796,0.19082790,0.00000000,19290,3145
12891,0.05661271,0.00077474,0.01515796,0.18701134,0.00000000,19311,3166
12941,0.06596221,0.00091647,0.01326322,0.25380111,-0.03789490,19340,3194
12991,0.07865115,0.00108477,0.01326322,0.18701134,0.00000000,19361,3215
13041,0.08800089,0.00120879,0.01326322,0.18701134,0.00000000,19382,3236
13096,0.09735063,0.00133280,0.02652643,0.21817990,0.26526432,19403,3264
13146,0.10869200,0.00163372,0.01136847,0.20550697,-0.29149925,19431,3284
13196,0.11896668,0.00175053,0.01326322,0.19146399,0.03789490,19452,3306
13246,0.12968772,0.00189274,0.01326322,0.16697441,0.00000000,19473,3327
13296,0.13803571,0.00200346,0.01136847,0.24489581,-0.03789490,19501,3354
13346,0.15027971,0.00214267,0.01136847,0.18701134,0.00000000,19522,3375
13396,0.15944267,0.00224684,0.01136847,0.19082790,0.00000000,19543,3396
13446,0.16898345,0.00235531,0.01136847,0.19591664,0.00000000,19565,3418
13496,0.17858275,0.00246444,0.01136847,0.19082790,0.00000000,19586,3439
13546,0.18812352,0.00257291,0.01136847,0.24934846,0.00000000,19614,3467
13596,0.20059014,0.00271464,0.01136847,0.18701134,0.00000000,19635,3488
13646,0.20994010,0.00282094,0.01326322,0.18255869,0.03789490,19655,3509
13696,0.21888469,0.00293958,0.01326322,0.19082790,0.00000000,19676,3530
13746,0.22823444,0.00306360,0.01326322,0.19082790,0.00000000,19697,3551
13799,0.23777499,0.00319014,0.02652643,0.28051701,0.26526432,19725,3586
13849,0.25179591,0.00356216,0.01136847,0.16029544,-0.30315922,19747,3600
13899,0.25964988,0.00365145,0.01326322,0.18628438,0.03866827,19767,3621
13949,0.26896328,0.00377498,0.01136847,0.19146399,-0.03789490,19789,3642
14000,0.27853586,0.00388381,0.01136847,0.18701134,0.00000000,19810,3663
14050,0.28788582,0.00399011,0.01136847,0.24044315,0.00000000,19837,3690
14100,0.29990720,0.00412678,0.00947373,0.19146399,-0.03789490,19859,3711
14150,0.30928852,0.00421566,0.01136847,0.19537142,0.03866827,19880,3733
14200,0.31905646,0.00432671,0.01136847,0.18701134,0.00000000,19901,3754
14250,0.32840642,0.00443301,0.01136847,0.17810604,0.00000000,19921,3774
14300,0.33731115,0.00453425,0.01326322,0.25380111,0.03789490,19949,3803
14350,0.35000009,0.00470255,0.01136847,0.19146399,-0.03789490,19971,3824
14400,0.35957267,0.00481138,0.01136847,0.18701134,0.00000000,19992,3845
14450,0.36948363,0.00492406,0.00947373,0.17222518,-0.03574991,20013,3865
14503,0.37809450,0.00500564,0.02652643,0.28051701,0.34105412,20040,3901
14553,0.39183500,0.00537021,0.01136847,0.15447973,-0.30934614,20061,3914
14603,0.39955849,0.00545802,0.01136847,0.19591664,0.00000000,20083,3936
14653,0.40935368,0.00556938,0.01136847,0.18701134,0.00000000,20104,3957
14703,0.41851665,0.00567355,0.01136847,0.19082790,0.00000000,20125,3978
14753,0.42805743,0.00578202,0.01136847,0.24934846,0.00000000,20153,4006
14803,0.44052404,0.00592376,0.01326322,0.18255869,0.03789490,20173,4027
14853,0.44965118,0.00604482,0.01326322,0.18701134,0.00000000,20194,4048
14903,0.45900092,0.00616883,0.01326322,0.18701134,0.00000000,20215,4069
14953,0.46816367,0.00629037,0.01326322,0.19082790,0.00000000,20236,4090
15003,0.47770423,0.00641691,0.01326322,0.24934846,0.00000000,20264,4118
15053,0.49017055,0.00658227,0.01326322,0.18701134,0.00000000,20285,4139
15103,0.49952030,0.00670628,0.01136847,0.19146399,-0.03789490,20307,4160
15153,0.50890143,0.00681294,0.01136847,0.19082790,0.00000000,20328,4181
15203,0.51844220,0.00692140,0.02273694,0.21372725,0.22736941,20349,4208
