time,odo_x,odo_y,odo_theta,odo_v,odo_w,enc_left,enc_right,target_x, target_y
1290,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-2571,6257,0.00000000,0.00000000
2745,0.00000000,0.00000000,0.00189475,0.00046317,0.00131397,-2570,6259,0.00000000,0.00000000
2795,0.00002316,0.00000004,0.00189475,0.00000000,0.00000000,-2570,6259,0.01000000,0.01570538
2845,0.00002316,0.00000004,0.00189475,0.00000000,0.00000000,-2570,6259,0.02000000,0.03139526
2895,0.00002316,0.00000004,0.00189475,0.00000000,0.00000000,-2570,6259,0.03000000,0.04705416
2953,0.00002316,0.00000004,0.00189475,0.00000000,0.00000000,-2570,6259,0.04000000,0.06266662
3003,0.00002316,0.00000004,0.00189475,0.00000000,0.00000000,-2570,6259,0.05000000,0.07821723
3053,0.00002316,0.00000004,0.00189475,0.00000000,0.00000000,-2570,6259,0.06000000,0.09369066
3103,0.00002316,0.00000004,0.00189475,0.00000000,0.00000000,-2570,6259,0.07000000,0.10907162
3153,0.00002316,0.00000004,0.00189475,0.00000000,0.00000000,-2570,6259,0.08000000,0.12434494
3203,0.00002316,0.00000004,0.00189475,0.00000000,0.00000000,-2570,6259,0.09000000,0.13949555
3253,0.00002316,0.00000004,0.00189475,0.00000000,0.00000000,-2570,6259,0.09000000,0.13949555
3303,0.00002316,0.00000004,0.05873710,0.08014772,1.13684707,-2576,6283,0.09000000,0.13949555
3353,0.00402363,0.00023529,0.20463247,0.00445265,2.91790747,-2614,6322,0.09000000,0.13949555
3403,0.00424162,0.00028053,0.36758055,-0.00890530,3.25896159,-2658,6364,0.09000000,0.13949555
3453,0.00383441,0.00012372,0.60063420,0.00454352,4.75619691,-2719,6426,0.09000000,0.13949555
3503,0.00402183,0.00025211,0.78631922,0.00000000,3.71370041,-2768,6475,0.09000000,0.13949555
3553,0.00402183,0.00025211,0.97389899,-0.00445265,3.75159531,-2818,6524,0.09000000,0.13949555
3603,0.00389919,0.00007166,1.14063656,0.03634817,3.40280754,-2858,6572,0.09000000,0.13949555
3653,0.00465708,0.00172350,1.20884738,0.10686362,1.36421648,-2864,6602,0.09000000,0.13949555
3704,0.00654909,0.00672049,1.12547859,0.10686362,-1.66737570,-2830,6592,0.09000000,0.13949555
3754,0.00885063,0.01154257,1.00610965,0.10241097,-2.38737884,-2787,6572,0.09000000,0.13949555
3804,0.01159090,0.01586819,0.90189867,0.14693748,-2.08421962,-2743,6561,0.09000000,0.13949555
3854,0.01614686,0.02163185,0.84126683,0.17810604,-1.21263687,-2707,6565,0.09999999,0.15450849
3904,0.02243854,0.02866898,0.82231938,0.21843194,-0.35749908,-2676,6586,0.09999999,0.15450849
3954,0.02987095,0.03667152,0.90000393,0.16474809,1.55369099,-2678,6625,0.10999999,0.16936895
4004,0.03499137,0.04312412,1.00989914,0.12467423,2.19790433,-2693,6668,0.10999999,0.16936895
4054,0.03830737,0.04840269,1.11789961,0.12912688,2.16000942,-2707,6711,0.11999999,0.18406226
4104,0.04113249,0.05420813,1.21263687,0.10686362,1.89474511,-2720,6748,0.11999999,0.18406226
4154,0.04300555,0.05921225,1.14442605,0.08014772,-1.36421648,-2693,6739,0.11999999,0.18406226
4204,0.04462973,0.06278789,1.02695185,0.09995747,-2.39743259,-2651,6719,0.13000000,0.19857394
4254,0.04721578,0.06706470,0.90947765,0.11576893,-2.34948393,-2607,6701,0.13000000,0.19857394
4304,0.05077080,0.07163284,0.86210902,0.20927460,-0.94737255,-2571,6712,0.13000000,0.19857394
4354,0.05758099,0.07957708,0.91137240,0.16029544,0.98526746,-2566,6743,0.14000000,0.21288965
4409,0.06239312,0.08578483,0.99853067,0.20900199,1.77874031,-2566,6789,0.14000000,0.21288965
4459,0.06805225,0.09456998,1.08000471,0.12912688,1.62948079,-2573,6825,0.15000001,0.22699526
4509,0.07109528,0.10026422,1.15200503,0.10686362,1.44000628,-2580,6856,0.15000001,0.22699526
4559,0.07326812,0.10514565,1.13305757,0.09795832,-0.37894902,-2564,6862,0.16000001,0.24087685
4609,0.07534431,0.10958175,1.08758369,0.13357953,-0.90947765,-2537,6865,0.16000001,0.24087685
4659,0.07844754,0.11549603,0.97768848,0.19591664,-2.19790433,-2486,6858,0.16000001,0.24087685
4709,0.08381332,0.12345636,0.89431969,0.14539269,-1.70140377,-2448,6852,0.17000002,0.25452073
4759,0.08836448,0.12912510,0.81663514,0.12912688,-1.55369099,-2413,6846,0.17000002,0.25452073
