time,odo_x,odo_y,odo_theta,odo_v,odo_w,enc_left,enc_right
382,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-258,-258
432,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-258,-258
482,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-258,-258
532,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-258,-258
590,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-258,-258
640,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-258,-258
690,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-258,-258
740,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-258,-258
790,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-258,-258
840,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-258,-258
890,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-258,-258
940,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-258,-258
990,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-258,-258
1040,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-258,-258
1091,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-258,-258
1141,0.00000000,0.00000000,-2.45369492,-8.07383759,-50.07540644,-499,-1794
1191,0.31188527,0.25630979,0.00000000,7.91236084,49.07389831,-258,-258
1241,0.70750331,0.25630979,0.00000000,0.00000000,0.00000000,-258,-258
1291,0.70750331,0.25630979,0.00000000,0.00000000,0.00000000,-258,-258
1341,0.70750331,0.25630979,0.00000000,0.00000000,0.00000000,-258,-258
1391,0.70750331,0.25630979,0.00000000,0.00000000,0.00000000,-258,-258
1441,0.70750331,0.25630979,0.00000000,0.00000000,0.00000000,-258,-258
1491,0.70750331,0.25630979,0.00000000,0.00000000,0.00000000,-258,-258
1541,0.70750331,0.25630979,0.00000000,0.00000000,0.00000000,-258,-258
1591,0.70750331,0.25630979,0.00000000,0.00000000,0.00000000,-258,-258
1641,0.70750331,0.25630979,0.00000000,0.00000000,0.00000000,-258,-258
1691,0.70750331,0.25630979,0.00000000,0.00000000,0.00000000,-258,-258
1741,0.70750331,0.25630979,0.00000000,0.00000000,0.00000000,-258,-258
1791,0.70750331,0.25630979,0.00000000,0.00000000,0.00000000,-258,-258
1841,0.70750331,0.25630979,0.00000000,0.00000000,0.00000000,-258,-258
1891,0.70750331,0.25630979,0.00000000,0.00000000,0.00000000,-258,-258
1941,0.70750331,0.25630979,0.00000000,0.00000000,0.00000000,-258,-258
1991,0.70750331,0.25630979,0.00000000,0.00000000,0.00000000,-258,-258
2041,0.70750331,0.25630979,0.23873788,-0.56103403,4.77475767,-384,-258
2091,0.68024724,0.24967623,0.00000000,0.56103403,-4.77475767,-258,-258
2141,0.70773790,0.24967623,0.00000000,0.00000000,0.00000000,-258,-258
2191,0.70773790,0.24967623,0.00000000,0.00000000,0.00000000,-258,-258
2241,0.70773790,0.24967623,0.00000000,0.00000000,0.00000000,-258,-258
2291,0.70773790,0.24967623,0.00000000,0.00000000,0.00000000,-258,-258
2341,0.70773790,0.24967623,0.00000000,0.00000000,0.00000000,-258,-258
2391,0.70773790,0.24967623,0.00000000,0.00000000,0.00000000,-258,-258
2441,0.70773790,0.24967623,0.00000000,0.00000000,0.00000000,-258,-258
2491,0.70773790,0.24967623,-2.45369492,-7.91236084,-49.07389831,-499,-1794
2541,1.00727252,0.49583615,0.00000000,8.07383759,50.07540644,-258,-258
2591,1.41096440,0.49583615,0.00000000,0.00000000,0.00000000,-258,-258
2641,1.41096440,0.49583615,0.00000000,0.00000000,0.00000000,-258,-258
2691,1.41096440,0.49583615,0.00000000,0.00000000,0.00000000,-258,-258
2741,1.41096440,0.49583615,0.00000000,0.00000000,0.00000000,-258,-258
2791,1.41096440,0.49583615,0.00000000,0.00000000,0.00000000,-258,-258
2841,1.41096440,0.49583615,0.00000000,0.00000000,0.00000000,-258,-258
2891,1.41096440,0.49583615,0.00000000,0.00000000,0.00000000,-258,-258
2941,1.41096440,0.49583615,0.00000000,0.00000000,0.00000000,-258,-258
2991,1.41096440,0.49583615,0.00000000,0.00000000,0.00000000,-258,-258
3041,1.41096440,0.49583615,0.00000000,0.00000000,0.00000000,-258,-258
3091,1.41096440,0.49583615,0.00000000,0.00000000,0.00000000,-258,-258
3141,1.41096440,0.49583615,0.00000000,0.00000000,0.00000000,-258,-258
3191,1.41096440,0.49583615,0.00000000,0.00000000,0.00000000,-258,-258
