time,odo_x,odo_y,odo_theta,odo_v,odo_w,enc_left,enc_right,target_x, target_y
1914,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-11495,-3219,0.00000000,0.00000000
5942,0.00000000,0.00000000,0.00000000,0.00022114,0.00000000,-11493,-3217,0.00000000,0.00000000
5992,0.00001084,0.00000000,0.00000000,0.00000000,0.00000000,-11493,-3217,0.01000000,0.01570538
6042,0.00001084,0.00000000,0.00000000,0.00000000,0.00000000,-11493,-3217,0.02000000,0.03139526
6092,0.00001084,0.00000000,0.00000000,0.00000000,0.00000000,-11493,-3217,0.03000000,0.04705416
6142,0.00001084,0.00000000,0.00000000,0.00000000,0.00000000,-11493,-3217,0.04000000,0.06266662
6192,0.00001084,0.00000000,0.00000000,0.00000000,0.00000000,-11493,-3217,0.05000000,0.07821723
6248,0.00001084,0.00000000,0.00000000,0.00000000,0.00000000,-11493,-3217,0.06000000,0.09369066
6298,0.00001084,0.00000000,0.00000000,0.00000000,0.00000000,-11493,-3217,0.07000000,0.10907162
6348,0.00001084,0.00000000,0.00000000,0.00000000,0.00000000,-11493,-3217,0.08000000,0.12434494
6398,0.00001084,0.00000000,0.00000000,0.00000000,0.00000000,-11493,-3217,0.09000000,0.13949555
6448,0.00001084,0.00000000,0.00000000,0.00000000,0.00000000,-11493,-3217,0.09999999,0.15450849
6501,0.00001084,0.00000000,0.00000000,0.00000000,0.00000000,-11493,-3217,0.10999999,0.16936895
6551,0.00001084,0.00000000,0.00000000,0.00000000,0.00000000,-11493,-3217,0.11999999,0.18406226
6601,0.00001084,0.00000000,0.00000000,0.00000000,0.00000000,-11493,-3217,0.13000000,0.19857394
6651,0.00001084,0.00000000,0.00000000,0.00000000,0.00000000,-11493,-3217,0.14000000,0.21288965
6701,0.00001084,0.00000000,0.00000000,0.00000000,0.00000000,-11493,-3217,0.15000001,0.22699526
6751,0.00001084,0.00000000,0.00000000,0.00000000,0.00000000,-11493,-3217,0.16000001,0.24087685
6801,0.00001084,0.00000000,0.00000000,0.00000000,0.00000000,-11493,-3217,0.17000002,0.25452073
6851,0.00001084,0.00000000,0.00000000,0.00000000,0.00000000,-11493,-3217,0.18000002,0.26791343
6901,0.00001084,0.00000000,0.00000000,0.00000000,0.00000000,-11493,-3217,0.19000003,0.28104172
6951,0.00001084,0.00000000,0.00000000,0.00000000,0.00000000,-11493,-3217,0.20000003,0.29389267
7001,0.00001084,0.00000000,0.00000000,0.00000000,0.00000000,-11493,-3217,0.21000004,0.30645357
7051,0.00001084,0.00000000,0.00000000,0.00000000,0.00000000,-11493,-3217,0.22000004,0.31871205
7101,0.00001084,0.00000000,0.00000000,0.00000000,0.00000000,-11493,-3217,0.23000005,0.33065599
7151,0.00001084,0.00000000,0.00000000,0.00000000,0.00000000,-11493,-3217,0.24000005,0.34227362
7201,0.00001084,0.00000000,0.00000000,0.00000000,0.00000000,-11493,-3217,0.25000006,0.35355346
7253,0.00001084,0.00000000,0.00000000,0.00000000,0.00000000,-11493,-3217,0.26000005,0.36448437
7303,0.00001084,0.00000000,0.00000000,0.00000000,0.00000000,-11493,-3217,0.27000004,0.37505558
7353,0.00001084,0.00000000,0.00000000,0.00000000,0.00000000,-11493,-3217,0.28000003,0.38525665
7403,0.00001084,0.00000000,0.00000000,0.00000000,0.00000000,-11493,-3217,0.29000002,0.39507753
7453,0.00001084,0.00000000,0.00000000,0.00000000,0.00000000,-11493,-3217,0.30000001,0.40450851
7503,0.00001084,0.00000000,0.00568424,0.01363056,0.11600480,-11493,-3214,0.30000001,0.40450851
7553,0.00069235,0.00000387,0.09852675,0.06678977,1.85685021,-11510,-3182,0.30000001,0.40450851
7603,0.00401565,0.00033237,0.25389584,0.00000000,3.10738198,-11551,-3141,0.30000001,0.40450851
7653,0.00401565,0.00033237,0.41873867,-0.00445265,3.29685649,-11595,-3098,0.30000001,0.40450851
