time,odo_x,odo_y,odo_theta,odo_v,odo_w,enc_left,enc_right
383,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-74,-78
433,0.00000000,0.00000000,-0.00189475,-0.01335795,-0.03789490,-75,-80
483,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
543,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
593,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
643,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
693,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
743,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
798,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
848,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
898,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
948,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
998,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
1048,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
1098,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
1148,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
1198,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
1248,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
1298,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
1348,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
1398,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
1448,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
1498,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
1550,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
1600,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
1650,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
1700,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
1750,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
1800,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
1850,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
1900,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
1950,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
2000,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
2050,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
2100,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
2150,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
2200,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
2254,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
2304,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
2354,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
2404,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
2454,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
2504,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
2554,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
2604,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
2654,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
2704,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
2754,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
2804,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
2854,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
2904,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
2954,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
3004,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
3054,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
3104,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
3154,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
3204,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
3254,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
3304,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
3354,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
3404,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
3454,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
3504,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
3554,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
3613,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
3663,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
3713,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
3763,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
3813,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
3863,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
3913,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
3963,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
4013,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
4063,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
4113,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
4163,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
4213,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
4263,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
4313,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
4363,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
4413,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
4463,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
4513,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
4563,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
4613,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
4663,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
4713,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
4763,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
4813,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
4863,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
4913,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
4963,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
5013,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
5063,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
5113,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
5163,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
5213,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
5263,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
5313,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
5363,-0.00066790,0.00000127,-0.00189475,0.00000000,0.00000000,-75,-80
