time,odo_x,odo_y,odo_theta,odo_v,odo_w,enc_left,enc_right,target_x, target_y
3376,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,27779,28055,0.00000000,0.00000000
7570,0.00000000,0.00000000,0.00189475,0.00015933,0.00045199,27780,28057,0.00000000,0.00000000
7633,0.00000797,0.00000002,0.00189475,0.00000000,0.00000000,27780,28057,0.01000000,0.01570538
7683,0.00000797,0.00000002,0.00189475,0.00000000,0.00000000,27780,28057,0.02000000,0.03139526
7733,0.00000797,0.00000002,0.00189475,0.00000000,0.00000000,27780,28057,0.03000000,0.04705416
7783,0.00000797,0.00000002,0.00189475,0.00000000,0.00000000,27780,28057,0.04000000,0.06266662
7833,0.00000797,0.00000002,0.00189475,0.00000000,0.00000000,27780,28057,0.05000000,0.07821723
7883,0.00000797,0.00000002,0.00189475,0.00000000,0.00000000,27780,28057,0.06000000,0.09369066
7940,0.00000797,0.00000002,0.00947373,0.01781060,0.15157961,27780,28061,0.06000000,0.09369066
7990,0.00088065,0.00000828,0.10421098,0.06360930,1.93341338,27762,28093,0.06000000,0.09369066
8040,0.00404386,0.00033912,0.26147482,0.00445265,3.14527688,27721,28135,0.06000000,0.09369066
8090,0.00425892,0.00039667,0.43010714,-0.00445265,3.37264629,27676,28179,0.06000000,0.09369066
8140,0.00405657,0.00030384,0.61200267,0.00000000,3.63791061,27628,28227,0.06000000,0.09369066
8190,0.00405657,0.00030384,0.79389820,0.01781060,3.63791061,27582,28277,0.06000000,0.09369066
8241,0.00468089,0.00093887,0.99474118,0.06233711,4.01685963,27536,28337,0.06000000,0.09369066
8308,0.00637871,0.00355272,1.11032063,0.10241097,2.31158903,27517,28379,0.06000000,0.09369066
8358,0.00938229,0.00960783,1.15958401,0.03373220,0.74641474,27509,28397,0.06000000,0.09369066
8408,0.01005646,0.01115384,1.16716299,0.08014772,0.15157961,27516,28408,0.07000000,0.10907162
8458,0.01163041,0.01483919,1.13874181,0.10241097,-0.56842353,27535,28412,0.07000000,0.10907162
8508,0.01377458,0.01948920,1.09895216,0.08460037,-0.79579295,27555,28411,0.07000000,0.10907162
8558,0.01569724,0.02325701,1.06484675,0.08014772,-0.68210824,27573,28411,0.07000000,0.10907162
8608,0.01763938,0.02676233,1.03263608,0.08460037,-0.64421334,27591,28412,0.07000000,0.10907162
8658,0.01980750,0.03039445,1.00800440,0.08460037,-0.49263373,27607,28415,0.08000000,0.12434494
8708,0.02206443,0.03397206,0.97958322,0.12022158,-0.56842353,27628,28421,0.08000000,0.12434494
8758,0.02581686,0.03956175,0.97010950,0.07553604,-0.16917367,27640,28428,0.08000000,0.12434494
8809,0.02790885,0.04261510,0.97010950,0.09087043,0.00000000,27650,28438,0.08000000,0.12434494
8862,0.03047689,0.04636326,0.97958322,0.11131628,0.18947451,27660,28453,0.09000000,0.13949555
8912,0.03357910,0.05098437,0.98526746,0.08460037,0.11368471,27668,28464,0.09000000,0.13949555
8962,0.03591678,0.05450975,0.99474118,0.08460037,0.18947451,27675,28476,0.09000000,0.13949555
9022,0.03822095,0.05805712,1.01179389,0.11131628,0.34105412,27683,28493,0.09000000,0.13949555
9072,0.04164502,0.06353071,1.00800440,0.08444683,-0.06533604,27695,28503,0.09999999,0.15450849
9122,0.04389785,0.06710183,1.00800440,0.08905302,0.00000000,27705,28513,0.09999999,0.15450849
9172,0.04627356,0.07086774,1.00800440,0.08014772,0.00000000,27714,28522,0.09999999,0.15450849
9222,0.04841170,0.07425707,1.00800440,0.10686362,0.00000000,27726,28534,0.10999999,0.16936895
9272,0.05126255,0.07877616,1.01368863,0.08460037,0.11368471,27734,28545,0.10999999,0.16936895
9322,0.05345437,0.08229474,1.01179389,0.08632691,-0.03866827,27744,28554,0.10999999,0.16936895
9372,0.05574350,0.08595407,1.00800440,0.08905302,-0.07578980,27755,28563,0.10999999,0.16936895
9422,0.05811921,0.08971999,1.00232016,0.09350567,-0.11368471,27767,28572,0.11999999,0.18406226
9473,0.06063614,0.09365995,0.99095169,0.12467423,-0.22736941,27784,28583,0.11999999,0.18406226
9523,0.06405156,0.09887475,0.98337271,0.09795832,-0.15157961,27797,28592,0.11999999,0.18406226
9573,0.06676607,0.10295163,0.97768848,0.08460037,-0.11368471,27808,28600,0.11999999,0.18406226
9623,0.06913040,0.10645920,0.97768848,0.08014772,0.00000000,27817,28609,0.13000000,0.19857394
9680,0.07163908,0.11018091,0.97579373,0.09143837,-0.03383473,27829,28620,0.13000000,0.19857394
9730,0.07420169,0.11396713,0.97579373,0.08905302,0.00000000,27839,28630,0.13000000,0.19857394
9780,0.07669745,0.11765458,0.97010950,0.06678977,-0.11368471,27848,28636,0.13000000,0.19857394
9830,0.07858496,0.12040948,0.96821475,0.07569507,-0.03789490,27857,28644,0.14000000,0.21288965
9880,0.08073005,0.12352764,0.96632001,0.10241097,-0.03789490,27869,28655,0.14000000,0.21288965
9930,0.08358201,0.12765657,0.97010950,0.09995747,0.07733654,27879,28667,0.14000000,0.21288965
9980,0.08640686,0.13177955,0.97389899,0.08905302,0.07578980,27888,28678,0.14000000,0.21288965
10030,0.08890960,0.13546227,0.97389899,0.08014772,0.00000000,27897,28687,0.15000001,0.22699526
10080,0.09116207,0.13877671,0.97200424,0.08460037,-0.03789490,27907,28696,0.15000001,0.22699526
