time,odo_x,odo_y,odo_theta,odo_v,odo_w,enc_left,enc_right,,
0,0,0,0,0,0,14263,1532,10675,0
50,0,0,0,0.0089053,0,14264,1533,10725,50
100,0.00043636,0,0,0,0,14264,1533,10775,100
150,0.00043636,0,0,0,0,14264,1533,10825,150
200,0.00043636,0,0,0,0,14264,1533,10875,200
250,0.00043636,0,0,0,0,14264,1533,10925,250
300,0.00043636,0,0,0,0,14264,1533,10975,300
350,0.00043636,0,0,0,0,14264,1533,11025,350
400,0.00043636,0,0,0,0,14264,1533,11075,400
450,0.00043636,0,0,0,0,14264,1533,11125,450
500,0.00043636,0,0,0,0,14264,1533,11175,500
550,0.00043636,0,0,0,0,14264,1533,11225,550
600,0.00043636,0,0,0,0,14264,1533,11275,600
650,0.00043636,0,0,0,0,14264,1533,11325,650
703,0.00043636,0,0,0,0,14264,1533,11378,703
753,0.00043636,0,0,0,0,14264,1533,11428,753
803,0.00043636,0,0,0,0,14264,1533,11478,803
853,0.00043636,0,0,0,0,14264,1533,11528,853
903,0.00043636,0,0,0,0,14264,1533,11578,903
953,0.00043636,0,0,0,0,14264,1533,11628,953
1003,0.00043636,0,0,0,0,14264,1533,11678,1003
1053,0.00043636,0,0,0,0,14264,1533,11728,1053
1103,0.00043636,0,0,0,0,14264,1533,11778,1103
1153,0.00043636,0,0,0,0,14264,1533,11828,1153
1203,0.00043636,0,0,0,0,14264,1533,11878,1203
1253,0.00043636,0,0,0,0,14264,1533,11928,1253
1303,0.00043636,0,0,0,0,14264,1533,11978,1303
1353,0.00043636,0,0,0,0,14264,1533,12028,1353
1406,0.00043636,0,0,0,0,14264,1533,12081,1406
1456,0.00043636,0,0,0,0,14264,1533,12131,1456
1506,0.00043636,0,0,0,0,14264,1533,12181,1506
1556,0.00043636,0,0,0,0,14264,1533,12231,1556
1606,0.00043636,0,0,0,0,14264,1533,12281,1606
1656,0.00043636,0,0,0,0,14264,1533,12331,1656
1706,0.00043636,0,0,0,0,14264,1533,12381,1706
1756,0.00043636,0,0,0,0,14264,1533,12431,1756
1806,0.00043636,0,0,0,0,14264,1533,12481,1806
1856,0.00043636,0,-0.00568424,0.02226326,-0.11368471,14268,1534,12531,1856
1906,0.0015495,-0.00000633,-0.03221067,0.11576893,-0.53052863,14288,1540,12581,1906
1956,0.00733495,-0.00019274,-0.0587371,0.11576893,-0.53052863,14308,1546,12631,1956
2006,0.01357569,-0.00055973,-0.08905302,0.1154391,-0.56140596,14330,1552,12681,2006
2056,0.01932477,-0.00107306,-0.1174742,0.12022158,-0.56842353,14351,1558,12731,2056
2110,0.02517503,-0.00176349,-0.15347435,0.16811029,-0.73469708,14379,1567,12785,2110
2160,0.03348174,-0.00304847,-0.18568502,0.12022158,-0.64421334,14401,1572,12835,2160
2210,0.03938949,-0.00415823,-0.2141062,0.12022158,-0.56842353,14422,1578,12885,2210
2260,0.04514584,-0.00540989,-0.24252737,0.12267508,-0.58002401,14443,1584,12935,2260
2310,0.05110009,-0.00688295,-0.27094855,0.12022158,-0.56842353,14464,1590,12985,2310
2360,0.05689187,-0.00849179,-0.30884345,0.16029544,-0.75789804,14492,1598,13035,2360
2410,0.06452742,-0.01092793,-0.33726463,0.12022158,-0.56842353,14513,1604,13085,2410
2460,0.07019986,-0.01291704,-0.36379106,0.11576893,-0.53052863,14533,1610,13135,2460
2510,0.07560948,-0.01497668,-0.39221224,0.12022158,-0.56842353,14554,1616,13185,2510
2560,0.08116411,-0.01727432,-0.42063341,0.12022158,-0.56842353,14575,1622,13235,2560
2610,0.08654146,-0.01967979,-0.46042306,0.16811029,-0.81203362,14604,1630,13285,2610
2660,0.09407167,-0.02341458,-0.48694949,0.11576893,-0.53052863,14624,1636,13335,2660
2710,0.09918729,-0.02612318,-0.51537067,0.12022158,-0.56842353,14645,1642,13385,2710
2760,0.10441759,-0.02908579,-0.54568659,0.12467423,-0.60631843,14667,1648,13435,2760
2810,0.10974599,-0.03232112,-0.56652879,0.12912688,-0.41684392,14687,1657,13485,2810
2860,0.11519365,-0.03578628,-0.61010792,0.15584279,-0.87158275,14716,1663,13535,2860
2910,0.12157998,-0.04025083,-0.63663436,0.11576893,-0.53052863,14736,1669,13585,2910
2960,0.12623448,-0.04369202,-0.66505553,0.12022158,-0.56842353,14757,1675,13635,2960
3010,0.13096449,-0.04740147,-0.69347671,0.12022158,-0.56842353,14778,1681,13685,3010
3060,0.13577209,-0.05139754,-0.73137161,0.15413023,-0.72874812,14806,1689,13735,3060
3110,0.14139302,-0.05644171,-0.75979279,0.12267508,-0.58002401,14827,1695,13785,3110
3160,0.14583986,-0.06066646,-0.78821397,0.12022158,-0.56842353,14848,1701,13835,3160
3210,0.15007835,-0.06492888,-0.81852989,0.12467423,-0.60631843,14870,1707,13885,3210
3260,0.15433781,-0.06948038,-0.84695106,0.12022158,-0.56842353,14891,1713,13935,3260
3310,0.15831877,-0.07398427,-0.88484597,0.16029544,-0.75789804,14919,1721,13985,3310
3360,0.1633954,-0.08018624,-0.91326714,0.12022158,-0.56842353,14940,1727,14035,3360
3410,0.16706915,-0.08494404,-0.94168832,0.12022158,-0.56842353,14961,1733,14085,3410
3460,0.17060621,-0.08980431,-0.9701095,0.12022158,-0.56842353,14982,1739,14135,3460
3510,0.17400373,-0.09476314,-0.99474118,0.12912688,-0.49263373,15003,1747,14185,3510
3560,0.17745029,-0.10006925,-1.03453083,0.14993621,-0.81203362,15030,1753,14235,3560
3610,0.18128063,-0.10651368,-1.06484675,0.12467423,-0.60631843,15052,1759,14285,3610
3660,0.18430172,-0.1119664,-1.09326793,0.12022158,-0.56842353,15073,1765,14335,3660
3710,0.18700908,-0.11719827,-1.11979436,0.11813156,-0.54135575,15093,1771,14385,3710
3760,0.18958356,-0.12251425,-1.15011028,0.11576893,-0.60631843,15114,1776,14435,3760
3810,0.19190021,-0.12769232,-1.18800518,0.17265381,-0.77336535,15143,1785,14485,3810
3860,0.19512461,-0.13570023,-1.21642636,0.12022158,-0.56842353,15164,1791,14535,3860
3910,0.19721046,-0.14133781,-1.24484754,0.12022158,-0.56842353,15185,1797,14585,3910
3960,0.19913525,-0.14703239,-1.27137397,0.11576893,-0.53052863,15205,1803,14635,3960
4010,0.20084266,-0.15256329,-1.30168989,0.12467423,-0.60631843,15227,1809,14685,4010
4060,0.20250002,-0.15857265,-1.33958479,0.16029544,-0.75789804,15255,1817,14735,4060
4110,0.20433666,-0.16637414,-1.36990071,0.11576893,-0.60631843,15276,1822,14785,4110
4160,0.20549172,-0.17204617,-1.39832189,0.12022158,-0.56842353,15297,1828,14835,4160
4210,0.20652335,-0.17796806,-1.42484832,0.12467423,-0.53052863,15318,1835,14885,4210
4260,0.20742992,-0.1841355,-1.4532695,0.12022158,-0.56842353,15339,1841,14935,4260
4310,0.20813476,-0.19010511,-1.48926966,0.15584279,-0.72000314,15366,1849,14985,4310
4360,0.20876932,-0.19787137,-1.51769083,0.12022158,-0.56842353,15387,1855,15035,4360
4410,0.20908839,-0.20387398,-1.54611201,0.12022158,-0.56842353,15408,1861,15085,4410
4460,0.20923676,-0.20988322,-1.57642793,0.12467423,-0.60631843,15430,1867,15135,4460
4510,0.20920165,-0.21611684,-1.60484911,0.12022158,-0.56842353,15451,1873,15185,4510
4560,0.208997,-0.22212443,-1.64084926,0.15584279,-0.72000314,15478,1881,15235,4560
4610,0.20845158,-0.22989746,-1.66927044,0.12022158,-0.56842353,15499,1887,15285,4610
4660,0.20787242,-0.23575978,-1.69769162,0.12267508,-0.58002401,15520,1893,15335,4660
4710,0.20709616,-0.24184421,-1.72611279,0.12022158,-0.56842353,15541,1899,15385,4710
4760,0.20616629,-0.24778293,-1.75642872,0.12467423,-0.60631843,15563,1905,15435,4760
4811,0.20501575,-0.25390955,-1.79432362,0.16029544,-0.75789804,15591,1913,15486,4811
4875,0.20323911,-0.26172493,-1.82085005,0.12467423,-0.53052863,15612,1920,15550,4875
4925,0.20144973,-0.26873114,-1.8606397,0.12667024,-0.6860284,15639,1926,15600,4925
4975,0.1996396,-0.27480047,-1.89095562,0.12467423,-0.60631843,15661,1932,15650,4975
5025,0.19771698,-0.28059908,-1.91748205,0.1272186,-0.54135575,15682,1939,15700,5025
5075,0.19555564,-0.28658156,-1.94590323,0.12022158,-0.56842353,15703,1945,15750,5075
5125,0.1933974,-0.29206282,-1.97242966,0.11813156,-0.54135575,15723,1951,15800,5125
5175,0.19076512,-0.29826049,-2.01032456,0.14061003,-0.66482285,15751,1959,15850,5175
5225,0.18777356,-0.30462276,-2.03874574,0.12022158,-0.56842353,15772,1965,15900,5225
5275,0.18506222,-0.30998762,-2.06716691,0.12022158,-0.56842353,15793,1971,15950,5275
5325,0.18219952,-0.31527326,-2.10695656,0.15584279,-0.79579295,15821,1978,16000,5325
5375,0.17821899,-0.32197198,-2.13727248,0.12467423,-0.60631843,15843,1984,16050,5375
5425,0.1749405,-0.32712677,-2.16379891,0.11813156,-0.54135575,15863,1990,16100,5425
5475,0.17163959,-0.33202489,-2.19222009,0.12912688,-0.56842353,15885,1997,16150,5475
