Format Version,1.24,Take Name,Take 2023-11-28 11.16.35 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-11-28 11.16.36.396 午前,Capture Start Frame,881158,Total Frames in Take,2246,Total Exported Frames,2246,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Rigid Body 001:Marker 004,Rigid Body 001:Marker 004,Rigid Body 001:Marker 004,Rigid Body 001:Marker 005,Rigid Body 001:Marker 005,Rigid Body 001:Marker 005,Rigid Body 001:Marker 006,Rigid Body 001:Marker 006,Rigid Body 001:Marker 006,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Rigid Body 001:Marker 004,Rigid Body 001:Marker 004,Rigid Body 001:Marker 004,Rigid Body 001:Marker 005,Rigid Body 001:Marker 005,Rigid Body 001:Marker 005,Rigid Body 001:Marker 006,Rigid Body 001:Marker 006,Rigid Body 001:Marker 006
,ID,11B5C3F38D9411EE511E8754224854B3,11B5C3F38D9411EE511E8754224854B3,11B5C3F38D9411EE511E8754224854B3,11B5C3F38D9411EE511E8754224854B3,11B5C3F38D9411EE511E8754224854B3,11B5C3F38D9411EE511E8754224854B3,11B5C3F38D9411EE511E8754224854B3,11B5C3F38D9411EE511E8754224854B3,11B5C3F38D9411EE511E8754224854B3,11B5C3F38D9411EE511E8754224854B3,11B5C3F38D9411EE511E8754224854B3,11B5C3F38D9411EE511E8754224854B3,11B5C3F38D9411EE511E8754224854B3,11B5C3F38D9411EE511E8754224854B3,11B5C3F38D9411EE511E8754224854B3,11B5C3F38D9411EE511E8754224854B3,11B5C3F38D9411EE511E8754224854B3,11B5C3F38D9411EE511E8754224854B3,11B5C3F38D9411EE511E8754224854B3,11B5C3F38D9411EE511E8754224854B3,11B5C3F38D9411EE511E8754224854B3,11B5C3F38D9411EE511E8754224854B3,11B5C3F38D9411EE511E8754224854B3,11B5C3F38D9411EE511E8754224854B3,"2796C40A8D9411EE511E8754224854B3","2796C40A8D9411EE511E8754224854B3","2796C40A8D9411EE511E8754224854B3","2796C40B8D9411EE511E8754224854B3","2796C40B8D9411EE511E8754224854B3","2796C40B8D9411EE511E8754224854B3","2796C40C8D9411EE511E8754224854B3","2796C40C8D9411EE511E8754224854B3","2796C40C8D9411EE511E8754224854B3","2796C40D8D9411EE511E8754224854B3","2796C40D8D9411EE511E8754224854B3","2796C40D8D9411EE511E8754224854B3","2796C40E8D9411EE511E8754224854B3","2796C40E8D9411EE511E8754224854B3","2796C40E8D9411EE511E8754224854B3","2796C40F8D9411EE511E8754224854B3","2796C40F8D9411EE511E8754224854B3","2796C40F8D9411EE511E8754224854B3"
,,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.132384,-0.132912,0.214445,0.005476,0.286300,-0.168506,-0.014441,0.286738,-0.030084,-0.087584,0.289889,-0.235897,0.104915,0.287336,-0.243160,0.019123,0.278245,-0.309117,-0.090458,0.287025,-0.095403,0.101300,0.288569,-0.097376,-0.014440,0.286717,-0.029856,-0.083169,0.285502,-0.240041,0.104646,0.287323,-0.243191,0.018845,0.278667,-0.309073,-0.090475,0.287477,-0.095044,0.101263,0.288408,-0.097381
1,0.008333,-0.113146,-0.135640,0.199291,0.005454,0.286314,-0.168500,-0.014469,0.286711,-0.030078,-0.087602,0.289951,-0.235894,0.104897,0.287348,-0.243149,0.019106,0.278302,-0.309112,-0.090483,0.287040,-0.095401,0.101275,0.288533,-0.097364,-0.014437,0.286683,-0.029898,-0.083186,0.285464,-0.240050,0.104599,0.287335,-0.243228,0.018824,0.278755,-0.308891,-0.090519,0.287482,-0.095110,0.101231,0.288350,-0.097377
2,0.016667,-0.085190,-0.131433,0.184117,0.005524,0.286272,-0.168479,-0.014389,0.286606,-0.030056,-0.087536,0.289966,-0.235865,0.104962,0.287316,-0.243135,0.019164,0.278325,-0.309097,-0.090408,0.286987,-0.095373,0.101351,0.288431,-0.097350,-0.014350,0.286595,-0.029888,-0.083147,0.285447,-0.240053,0.104660,0.287235,-0.243199,0.018886,0.278855,-0.308859,-0.090448,0.287368,-0.095083,0.101343,0.288266,-0.097375
3,0.025000,-0.101455,-0.123424,0.184492,0.005534,0.286145,-0.168462,-0.014360,0.286519,-0.030035,-0.087535,0.289820,-0.235835,0.104961,0.287169,-0.243132,0.019154,0.278159,-0.309079,-0.090388,0.286881,-0.095342,0.101371,0.288325,-0.097346,-0.014338,0.286502,-0.029799,-0.083104,0.285538,-0.240049,0.104702,0.287131,-0.243156,0.018842,0.278555,-0.309045,-0.090412,0.287275,-0.095008,0.101345,0.288154,-0.097328
4,0.033333,-0.140121,-0.122115,0.204065,0.005497,0.286110,-0.168442,-0.014394,0.286570,-0.030016,-0.087575,0.289707,-0.235816,0.104922,0.287117,-0.243115,0.019116,0.278033,-0.309054,-0.090423,0.286863,-0.095321,0.101335,0.288371,-0.097331,-0.014347,0.286580,-0.029792,-0.083149,0.285460,-0.240046,0.104679,0.287123,-0.243077,0.018773,0.278452,-0.309138,-0.090471,0.287270,-0.094959,0.101303,0.288191,-0.097291
5,0.041667,-0.103307,-0.127593,0.197060,0.005502,0.286235,-0.168491,-0.014401,0.286609,-0.030066,-0.087563,0.289887,-0.235871,0.104935,0.287278,-0.243154,0.019135,0.278247,-0.309107,-0.090425,0.286952,-0.095379,0.101334,0.288438,-0.097369,-0.014364,0.286620,-0.029869,-0.083205,0.285293,-0.240019,0.104678,0.287260,-0.243181,0.018840,0.278717,-0.309003,-0.090494,0.287374,-0.095071,0.101314,0.288253,-0.097376
